ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	1	130	90	50	14531	Monster_Sloth	700	7000	MON_DUN_CASLUCIFER04_NORMAL
2	TRUE	1	130	90	50	14541	Monster_Torchere	700	7000	MON_DUN_CASLUCIFER04_NORMAL
3	TRUE	1	132	54	30	14532	Monster_Sloth_Elite	700	7000	MON_DUN_CASLUCIFER04_NORMAL
4	TRUE	1	132	54	30	14542	Monster_Torchere_Elite	700	7000	MON_DUN_CASLUCIFER04_NORMAL
5	TRUE	1	136	9	5	14533	Monster_Sloth_Boss	700	7000	MON_DUN_CASLUCIFER04_NORMAL
6	TRUE	1	136	9	5	14543	Monster_Torchere_Boss	700	7000	MON_DUN_CASLUCIFER04_NORMAL
7	TRUE	1	130	90	50	14531	Monster_Sloth	700	7000	MON_DUN_CASLUCIFER04_NORMAL
8	TRUE	1	130	90	50	14541	Monster_Torchere	700	7000	MON_DUN_CASLUCIFER04_NORMAL
9	TRUE	1	132	54	30	14532	Monster_Sloth_Elite	700	7000	MON_DUN_CASLUCIFER04_NORMAL
10	TRUE	1	132	54	30	14542	Monster_Torchere_Elite	700	7000	MON_DUN_CASLUCIFER04_NORMAL
11	TRUE	1	136	9	5	14533	Monster_Sloth_Boss	700	7000	MON_DUN_CASLUCIFER04_NORMAL
12	TRUE	1	136	9	5	14543	Monster_Torchere_Boss	700	7000	MON_DUN_CASLUCIFER04_NORMAL
13	TRUE	1	130	90	50	14531	Monster_Sloth	700	7000	MON_DUN_CASLUCIFER04_NORMAL
14	TRUE	1	130	90	50	14541	Monster_Torchere	700	7000	MON_DUN_CASLUCIFER04_NORMAL
15	TRUE	1	132	54	30	14532	Monster_Sloth_Elite	700	7000	MON_DUN_CASLUCIFER04_NORMAL
16	TRUE	1	132	54	30	14542	Monster_Torchere_Elite	700	7000	MON_DUN_CASLUCIFER04_NORMAL
17	TRUE	1	136	9	5	14533	Monster_Sloth_Boss	700	7000	MON_DUN_CASLUCIFER04_NORMAL
18	TRUE	1	136	9	5	14543	Monster_Torchere_Boss	700	7000	MON_DUN_CASLUCIFER04_NORMAL
