ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	5	134	300	150	18174	Monster_trm_Candlegeister	900	12000	MON_TRM_DUN04_NOMAL
2	TRUE	5	134	300	150	18175	Monster_trm_Steamgeister	900	12000	MON_TRM_DUN04_NOMAL
3	TRUE	5	134	300	150	18176	Monster_trm_Tendercore	900	12000	MON_TRM_DUN04_NOMAL
4	TRUE	4	134	300	150	18174	Monster_trm_Candlegeister	900	12000	MON_TRM_DUN04_NOMAL
5	TRUE	4	134	300	150	18175	Monster_trm_Steamgeister	900	12000	MON_TRM_DUN04_NOMAL
6	TRUE	4	134	300	150	18176	Monster_trm_Tendercore	900	12000	MON_TRM_DUN04_NOMAL
7	TRUE	3	134	300	150	18174	Monster_trm_Candlegeister	900	12000	MON_TRM_DUN04_NOMAL
8	TRUE	3	134	300	150	18175	Monster_trm_Steamgeister	900	12000	MON_TRM_DUN04_NOMAL
9	TRUE	3	134	300	150	18176	Monster_trm_Tendercore	900	12000	MON_TRM_DUN04_NOMAL
10	TRUE	2	134	300	150	18174	Monster_trm_Candlegeister	900	12000	MON_TRM_DUN04_NOMAL
11	TRUE	2	134	300	150	18175	Monster_trm_Steamgeister	900	12000	MON_TRM_DUN04_NOMAL
12	TRUE	2	134	300	150	18176	Monster_trm_Tendercore	900	12000	MON_TRM_DUN04_NOMAL
13	TRUE	1	134	300	150	18174	Monster_trm_Candlegeister	900	12000	MON_TRM_DUN04_NOMAL
14	TRUE	1	134	300	150	18175	Monster_trm_Steamgeister	900	12000	MON_TRM_DUN04_NOMAL
15	TRUE	1	134	300	150	18176	Monster_trm_Tendercore	900	12000	MON_TRM_DUN04_NOMAL
16	TRUE	6	134	1	1	18177	Monster_tmr_Ordnmachina	900	90000	MON_TRM_DUN04_ELITE
17	TRUE	7	134	1	1	18177	Monster_tmr_Ordnmachina	900	90000	MON_TRM_DUN04_ELITE
18	TRUE	8	134	1	1	18177	Monster_tmr_Ordnmachina	900	90000	MON_TRM_DUN04_ELITE
19	TRUE	9	134	1	1	18177	Monster_tmr_Ordnmachina	900	90000	MON_TRM_DUN04_ELITE
20	TRUE	10	134	1	1	18177	Monster_tmr_Ordnmachina	900	90000	MON_TRM_DUN04_ELITE
21	TRUE	11	134	1	1	18177	Monster_tmr_Ordnmachina	900	90000	MON_TRM_DUN04_ELITE
22	TRUE	12	134	1	1	18177	Monster_tmr_Ordnmachina	900	90000	MON_TRM_DUN04_ELITE
23	TRUE	13	134	1	1	18177	Monster_tmr_Ordnmachina	900	90000	MON_TRM_DUN04_ELITE
24	TRUE	14	134	1	1	18177	Monster_tmr_Ordnmachina	900	90000	MON_TRM_DUN04_ELITE
25	TRUE	15	134	1	1	18177	Monster_tmr_Ordnmachina	900	90000	MON_TRM_DUN04_ELITE
26	TRUE	16	134	1	1	18177	Monster_tmr_Ordnmachina	900	90000	MON_TRM_DUN04_ELITE
27	TRUE	17	134	1	1	18177	Monster_tmr_Ordnmachina	900	90000	MON_TRM_DUN04_ELITE
999	TRUE	2	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
