ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	76	88	85	12511	Monster_forgottenmusescargot 	500	5000	None
2	TRUE	0	77	88	85	12521	Monster_forgottentwinheaded 	500	5000	None
3	TRUE	0	78	88	85	12531	Monster_forgottenjabberwock	500	5000	None
4	TRUE	0	79	88	85	12541	Monster_forgotteneigleschivarlier	500	5000	None
5	TRUE	1	80	126	122	12511	Monster_forgottenmusescargot 	500	5000	None
6	TRUE	1	81	126	122	12521	Monster_forgottentwinheaded 	500	5000	None
7	TRUE	1	82	126	122	12531	Monster_forgottenjabberwock	500	5000	None
8	TRUE	1	83	126	122	12541	Monster_forgotteneigleschivarlier	500	5000	None
9	TRUE	2	84	86	83	12511	Monster_forgottenmusescargot 	500	5000	None
10	TRUE	2	85	86	83	12521	Monster_forgottentwinheaded 	500	5000	None
11	TRUE	2	86	86	83	12531	Monster_forgottenjabberwock	500	5000	None
12	TRUE	2	87	86	83	12541	Monster_forgotteneigleschivarlier	500	5000	None
13	TRUE	3	87	127	123	12511	Monster_forgottenmusescargot 	500	5000	None
14	TRUE	3	87	127	123	12521	Monster_forgottentwinheaded 	500	5000	None
15	TRUE	3	89	127	123	12531	Monster_forgottenjabberwock	500	5000	None
16	TRUE	3	90	127	123	12541	Monster_forgotteneigleschivarlier	500	5000	None
17	FALSE	4	120	1	0	81024	Mission_TreasureBox4	50	1800000	None
18	FALSE	4	83	1	0	70180	Mission_CatherineEvent	50	1000	MON_CREATE_CASHBOSS
19	FALSE	4	83	5	3	81034	Mission_TreasureMaiden2	50	1200000	None
500	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
