ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	130	12	5	40021	Monster_elgoom_raid	500	45000	MON_RAID_CALLMON
2	TRUE	0	130	30	5	40021	Monster_elgoom_raid	500	45000	MON_MISSION_03
3	TRUE	1	130	5	0	40021	Monster_elgoom_raid	500	50000	MON_RAID_CALLMON
4	TRUE	2	130	8	4	40021	Monster_elgoom_raid	500	50000	MON_RAID_CALLMON
5	TRUE	0	130	12	5	40031	Monster_Elnoogard_raid	500	45000	MON_RAID_CALLMON
6	TRUE	0	130	30	5	40031	Monster_Elnoogard_raid	500	45000	MON_MISSION_03
7	TRUE	1	130	5	0	40031	Monster_Elnoogard_raid	500	50000	MON_RAID_CALLMON
8	TRUE	2	130	8	4	40031	Monster_Elnoogard_raid	500	50000	MON_RAID_CALLMON
9	TRUE	0	130	12	5	40041	Monster_Elbleed_raid	500	45000	MON_MISSION_03
10	TRUE	0	130	30	5	40041	Monster_Elbleed_raid	500	45000	MON_MISSION_03
11	TRUE	1	130	5	0	40041	Monster_Elbleed_raid	500	50000	MON_RAID_CALLMON
12	TRUE	2	130	8	4	40041	Monster_Elbleed_raid	500	50000	MON_RAID_CALLMON
13	TRUE	3	130	4	0	90124	Monster_Elminorboss_raid	50	900000	MON_RAID_KTV04_BOSS
500	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
