ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	106	260	301	12231	<$>49196</>	500	20000	None
2	TRUE	0	106	381	406	12251	<$>49202</>	500	45000	None
3	TRUE	0	108	3	1	12272	<$>49209</>	500	30000	None
4	TRUE	0	105	150	108	12271	<$>49208</>	500	20000	None
5	TRUE	0	106	80	62	12241	<$>49199</>	500	45000	None
6	TRUE	0	108	80	40	12261	<$>49204</>	500	45000	None
7	TRUE	0	106	158	108	12281	<$>51537</>	500	45000	None
8	TRUE	0	108	3	1	12282	<$>49212</>	500	30000	MON_PASSIVE_RAID
9	TRUE	0	108	20	8	12321	<$>64406</>	500	10800000	MON_PASSIVE_RAID
10	TRUE	1	108	1	0	20641	<$>49737</>	500	10800000	MON_PASSIVE_RAID
11	TRUE	2	108	1	0	20641	<$>49737</>	500	10800000	MON_PASSIVE_RAID
12	TRUE	3	108	1	0	20641	<$>49737</>	500	10800000	MON_PASSIVE_RAID
13	TRUE	4	108	1	0	20641	<$>49737</>	500	10800000	MON_PASSIVE_RAID
14	FALSE	9	103	1	0	70180	Mission_CatherineEvent	50	1000	MON_SUMMON_BOSS
500	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
