ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	108	5	3	12252	<$>64407</>	500	45000	None
2	TRUE	0	106	90	50	12251	<$>64408</>	500	20000	None
3	TRUE	0	108	5	3	12272	<$>64409</>	500	45000	None
4	TRUE	0	106	60	28	12271	<$>64410</>	500	20000	None
5	TRUE	0	106	18	5	12232	<$>49197</>	500	45000	None
6	TRUE	0	106	182	56	12231	<$>49196</>	500	20000	None
7	TRUE	0	108	5	3	12262	<$>49205</>	500	45000	None
8	TRUE	0	106	75	40	12261	<$>49204</>	500	20000	None
9	TRUE	0	109	6	2	12292	<$>49216</>	500	45000	MON_PASSIVE_RAID
10	TRUE	0	108	15	8	12291	<$>49215</>	500	20000	None
12	TRUE	1	109	20	12	12301	<$>49218</>	500	20000	None
13	TRUE	1	110	3	2	12302	<$>49219</>	500	45000	MON_PASSIVE_RAID
14	TRUE	0	108	15	10	12311	<$>49223</>	500	20000	None
15	TRUE	1	110	5	3	12312	<$>49224</>	500	60000	MON_PASSIVE_RAID
16	TRUE	11	108	1	0	70832	<$>49930</>	0	480000	None
17	TRUE	12	108	1	0	70832	<$>49930</>	0	480000	None
18	TRUE	13	108	1	0	70832	<$>49930</>	0	480000	None
19	TRUE	14	108	1	0	70832	<$>49930</>	0	480000	None
20	TRUE	15	108	1	0	70832	<$>49930</>	0	480000	None
21	TRUE	16	108	1	0	70832	<$>49930</>	0	480000	None
22	TRUE	17	108	1	0	70832	<$>49930</>	0	480000	None
23	TRUE	18	108	1	0	70832	<$>49930</>	0	480000	None
24	TRUE	19	108	1	0	70832	<$>49930</>	0	480000	None
25	TRUE	20	108	1	0	70832	<$>49930</>	0	480000	None
26	TRUE	21	108	1	0	70832	<$>49930</>	0	480000	None
27	TRUE	22	108	1	0	70832	<$>49930</>	0	480000	None
28	TRUE	23	108	1	0	70832	<$>49930</>	0	480000	None
29	TRUE	24	108	1	0	70832	<$>49930</>	0	480000	None
30	TRUE	25	108	1	0	70832	<$>49930</>	0	480000	None
31	TRUE	26	108	1	0	70832	<$>49930</>	0	480000	None
32	TRUE	27	108	1	0	70832	<$>49930</>	0	480000	None
33	TRUE	28	108	1	0	70832	<$>49930</>	0	480000	None
34	TRUE	29	108	1	0	70832	<$>49930</>	0	480000	None
35	TRUE	30	108	1	0	70832	<$>49930</>	0	480000	None
36	TRUE	31	108	1	0	70832	<$>49930</>	0	480000	None
37	TRUE	101	112	2	0	12322	<$>49227</>	500	60000	None
38	TRUE	102	112	2	0	12322	<$>49227</>	500	60000	None
39	TRUE	103	112	2	0	12322	<$>49227</>	500	60000	None
40	TRUE	104	112	2	0	12322	<$>49227</>	500	60000	None
41	TRUE	105	112	2	0	12322	<$>49227</>	500	60000	None
42	TRUE	106	112	2	0	12322	<$>49227</>	500	60000	None
43	TRUE	107	112	2	0	12322	<$>49227</>	500	60000	None
45	TRUE	201	110	1	0	20641	<$>49737</>	500	10800000	MON_PASSIVE_RAID
46	TRUE	202	110	1	0	20641	<$>49737</>	500	10800000	MON_PASSIVE_RAID
47	TRUE	203	110	1	0	20641	<$>49737</>	500	10800000	MON_PASSIVE_RAID
48	TRUE	204	110	1	0	20641	<$>49737</>	500	10800000	MON_PASSIVE_RAID
49	TRUE	210	100	1	0	70833	<$>64411</>	0	600000	MON_TBK_ENGINE
50	FALSE	9	103	1	0	70180	Mission_CatherineEvent	50	1000	MON_SUMMON_BOSS
