ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	38	37	31	10222	Monster_LesserGargoyle_Elite	500	15000	None
2	TRUE	0	40	172	142	10232	Monster_Demon_Elite	500	15000	None
3	TRUE	0	41	37	31	10412	Monster_Nevare_Elite	500	15000	None
4	FALSE	0	43	1	0	20051	Monster_Pollux	1000	1800000	MON_FIELD_SBOSS
5	FALSE	0	38	20	10	60047	Trigger_Ttr2_Cask	50	9000	None
6	FALSE	0	39	1	0	81002	Mission_TreasurePhobitan	50	3600000	None
7	FALSE	2	39	1	0	20561	Monster_Gargoyleminion3	50	420000	MON_TTR2_AREABOSS1
8	FALSE	3	39	1	0	20561	Monster_Gargoyleminion3	50	420000	MON_TTR2_AREABOSS2
9	FALSE	4	39	1	0	20561	Monster_Gargoyleminion3	50	420000	MON_TTR2_AREABOSS3
10	FALSE	5	39	1	0	20561	Monster_Gargoyleminion3	50	420000	MON_TTR2_AREABOSS4
11	FALSE	6	39	1	0	20561	Monster_Gargoyleminion3	50	420000	MON_TTR2_AREABOSS5
12	FALSE	7	39	1	0	20561	Monster_Gargoyleminion3	50	420000	MON_TTR2_AREABOSS6
13	FALSE	8	39	1	0	20561	Monster_Gargoyleminion3	50	420000	MON_TTR2_AREABOSS7
14	FALSE	9	39	1	0	20561	Monster_Gargoyleminion3	50	420000	MON_TTR2_AREABOSS8
15	FALSE	10	39	1	0	20561	Monster_Gargoyleminion3	50	420000	MON_TTR2_AREABOSS9
16	FALSE	11	39	1	0	20562	Monster_Gargoyleminion_Quest	50	420000	MON_TTR2_AREABOSS10
17	FALSE	12	39	1	0	20561	Monster_Gargoyleminion3	50	420000	MON_TTR2_AREABOSS11
18	FALSE	13	39	1	0	20561	Monster_Gargoyleminion3	50	420000	MON_TTR2_AREABOSS12
19	FALSE	14	39	1	0	20561	Monster_Gargoyleminion3	50	420000	MON_TTR2_AREABOSS13
20	FALSE	15	39	1	0	20561	Monster_Gargoyleminion3	50	420000	MON_TTR2_AREABOSS14
21	FALSE	16	39	1	0	20561	Monster_Gargoyleminion3	50	420000	MON_TTR2_AREABOSS15
22	FALSE	17	39	1	0	20561	Monster_Gargoyleminion3	50	420000	MON_TTR2_AREABOSS16
500	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
