ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	100	63	61	12791	Monster_ForgottenSkeletontg	500	5000	None
2	TRUE	0	101	63	61	12801	Monster_ForgottenSkeletontb	500	5000	None
3	TRUE	0	102	63	61	12811	Monster_ForgottenSkeletonhg	500	5000	None
4	TRUE	0	103	63	61	12821	Monster_ForgottenSkeletonbla	500	5000	None
5	TRUE	1	104	39	37	12791	Monster_ForgottenSkeletontg	500	5000	None
6	TRUE	1	105	39	37	12801	Monster_ForgottenSkeletontb	500	5000	None
7	TRUE	1	100	39	37	12811	Monster_ForgottenSkeletonhg	500	5000	None
8	TRUE	1	101	39	37	12821	Monster_ForgottenSkeletonbla	500	5000	None
9	TRUE	2	102	43	41	12791	Monster_ForgottenSkeletontg	500	5000	None
10	TRUE	2	103	43	41	12801	Monster_ForgottenSkeletontb	500	5000	None
11	TRUE	2	104	43	41	12811	Monster_ForgottenSkeletonhg	500	5000	None
12	TRUE	2	105	43	41	12821	Monster_ForgottenSkeletonbla	500	5000	None
13	FALSE	4	120	1	0	81025	Mission_TreasureBox5	50	1800000	None
14	FALSE	5	107	1	0	70180	Mission_CatherineEvent	50	1000	MON_CREATE_CASHBOSS
15	FALSE	4	100	2	1	81035	Monster_Treasureskeleton2	50	1200000	None
500	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
