ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	1	135	20	20	53336	mon_Slave_chief	500	2000	MON_ALT_FLD03_NOMAL
2	TRUE	1	137	15	15	53335	mon_Slave_stabber	500	2000	MON_ALT_FLD03_NOMAL
3	TRUE	1	137	10	10	53336	mon_Slave_chief	500	2000	MON_ALT_FLD03_NOMAL
4	TRUE	2	135	22	22	53335	mon_Slave_stabber	500	2000	MON_ALT_FLD03_NOMAL
5	TRUE	2	140	10	10	53336	mon_Slave_chief	500	2000	MON_ALT_FLD03_NOMAL
6	TRUE	2	140	5	5	53335	mon_Slave_stabber	500	2000	MON_ALT_FLD03_NOMAL
7	TRUE	2	137	10	10	53335	mon_Slave_stabber	500	2000	MON_ALT_FLD03_NOMAL
8	TRUE	2	137	14	14	53336	mon_Slave_chief	500	2000	MON_ALT_FLD03_NOMAL
9	TRUE	3	140	35	35	53333	mon_Ignite_sorcerer	500	2000	MON_ALT_FLD03_NOMAL
10	TRUE	5	140	30	30	53331	mon_Necrocrssbw	500	1000	MON_ALT_FLD03_NOMAL
11	TRUE	6	138	30	30	53330	mon_Necroscythe	500	1000	MON_ALT_FLD03_NOMAL
12	TRUE	7	140	30	30	53330	mon_Necroscythe	500	1000	MON_ALT_FLD03_NOMAL
13	FALSE	6	150	1	0	53332	mon_Skeleton_revenant	500	180000000	MON_ALT_FLD03_REVENANT
14	FALSE	3	150	1	0	53339	Mon_devil_iskra	500	180000000	MON_ALT_FLD03_ISKRA
