ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	1	141	15	14	55178	mon_ifarm_Priests	650	12000	MON_IFARM_AGGRESSIVE
2	TRUE	2	141	15	14	55179	mon_ifarm_Paladin	650	12000	MON_IFARM_AGGRESSIVE
3	TRUE	3	141	15	14	55178	mon_ifarm_Priests	650	12000	MON_IFARM_AGGRESSIVE
4	TRUE	1	141	20	19	55179	mon_ifarm_Paladin	650	12000	MON_IFARM_AGGRESSIVE
5	TRUE	2	141	20	19	55178	mon_ifarm_Priests	650	12000	MON_IFARM_AGGRESSIVE
6	TRUE	3	141	20	19	55179	mon_ifarm_Paladin	650	12000	MON_IFARM_AGGRESSIVE
7	TRUE	1	141	10	9	55178	mon_ifarm_Priests	650	12000	MON_IFARM_AGGRESSIVE
8	TRUE	2	141	10	9	55179	mon_ifarm_Paladin	650	12000	MON_IFARM_AGGRESSIVE
9	TRUE	3	141	10	9	55178	mon_ifarm_Priests	650	12000	MON_IFARM_AGGRESSIVE
10	TRUE	1	141	15	14	55179	mon_ifarm_Paladin	650	12000	MON_IFARM_AGGRESSIVE
11	TRUE	2	141	15	14	55178	mon_ifarm_Priests	650	12000	MON_IFARM_AGGRESSIVE
12	TRUE	3	141	15	10	55179	mon_ifarm_Paladin	650	12000	MON_IFARM_AGGRESSIVE
13	TRUE	1	141	15	14	55178	mon_ifarm_Priests	650	12000	MON_IFARM_AGGRESSIVE
14	TRUE	2	141	15	14	55179	mon_ifarm_Paladin	650	12000	MON_IFARM_AGGRESSIVE
15	TRUE	3	141	15	10	55179	mon_ifarm_Paladin	650	12000	MON_IFARM_AGGRESSIVE
