ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	110	10	3	40242	<$>50192</>	500	150000	MON_PASSIVE
2	TRUE	0	110	4	2	40252	<$>50193</>	500	250000	None
3	TRUE	0	105	15	14	40262	<$>50194</>	500	75000	MON_PASSIVE
4	TRUE	0	108	15	12	40272	<$>50195</>	500	75000	None
5	TRUE	0	105	16	10	40282	<$>50196</>	500	75000	MON_PASSIVE
6	TRUE	0	108	16	10	40292	<$>50197</>	500	75000	None
7	TRUE	0	105	16	8	40302	<$>50198</>	500	75000	None
8	TRUE	0	108	10	5	40312	<$>50199</>	500	75000	None
9	TRUE	0	105	30	20	40322	<$>50200</>	500	75000	None
10	TRUE	0	108	10	5	40332	<$>50201</>	500	75000	None
11	TRUE	0	110	10	9	40342	<$>50202</>	500	75000	None
