ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	170	12	5	151282	deadseaktv04_elitemuertos_fgt_f_Raid_jpn	500	45000	MON_DEADSEAKTV01_CALLMON
2	TRUE	0	170	30	5	151282	deadseaktv04_elitemuertos_fgt_f_Raid_jpn	500	45000	MON_DEADSEAKTV01_MOB
3	TRUE	1	170	5	0	151282	deadseaktv04_elitemuertos_fgt_f_Raid_jpn	500	50000	MON_DEADSEAKTV01_CALLMON
4	TRUE	2	170	8	4	151283	deadseaktv04_elitemuertos_mus_f_Raid_jpn	500	50000	MON_DEADSEAKTV01_CALLMON
5	TRUE	0	170	12	5	151283	deadseaktv04_elitemuertos_mus_f_Raid_jpn	500	45000	MON_DEADSEAKTV01_CALLMON
6	TRUE	0	170	30	5	151283	deadseaktv04_elitemuertos_mus_f_Raid_jpn	500	45000	MON_DEADSEAKTV01_MOB
7	TRUE	1	170	5	0	151282	deadseaktv04_elitemuertos_fgt_f_Raid_jpn	500	50000	MON_DEADSEAKTV01_CALLMON
8	TRUE	2	170	8	4	151283	deadseaktv04_elitemuertos_mus_f_Raid_jpn	500	50000	MON_DEADSEAKTV01_CALLMON
9	TRUE	0	150	12	5	151283	deadseaktv04_elitemuertos_mus_f_Raid_jpn	500	45000	MON_DEADSEAKTV01_MOB
10	TRUE	0	170	30	5	151285	deadseaktv04_muertos_wiz_f_Raid_jpn	500	45000	MON_DEADSEAKTV01_MOB
11	TRUE	1	170	5	0	151285	deadseaktv04_muertos_wiz_f_Raid_jpn	500	50000	MON_DEADSEAKTV01_CALLMON
12	TRUE	2	170	8	4	151285	deadseaktv04_muertos_wiz_f_Raid_jpn	500	50000	MON_DEADSEAKTV01_CALLMON
13	TRUE	3	170	4	0	151285	deadseaktv04_muertos_wiz_f_Raid_jpn	50	900000	MON_DEADSEAKTV01_MOB
