ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	150	12	5	151235	DKTVJPN02_elgoom4F	500	45000	MON_TOWERGRACIEL01_CALLMON
2	TRUE	0	150	30	5	151235	DKTVJPN02_elgoom4F	500	45000	MON_TOWERGRACIEL01_MOB
3	TRUE	1	150	5	0	151235	DKTVJPN02_elgoom4F	500	50000	MON_TOWERGRACIEL01_CALLMON
4	TRUE	2	150	8	4	151235	DKTVJPN02_elgoom4F	500	50000	MON_TOWERGRACIEL01_CALLMON
5	TRUE	0	150	12	5	151061	DKTVJPN04_Elnoogard_raid	500	45000	MON_TOWERGRACIEL01_CALLMON
6	TRUE	0	150	30	5	151061	DKTVJPN04_Elnoogard_raid	500	45000	MON_TOWERGRACIEL01_MOB
7	TRUE	1	150	5	0	151061	DKTVJPN04_Elnoogard_raid	500	50000	MON_TOWERGRACIEL01_CALLMON
8	TRUE	2	150	8	4	151061	DKTVJPN04_Elnoogard_raid	500	50000	MON_TOWERGRACIEL01_CALLMON
9	TRUE	0	150	12	5	151062	DKTVJPN04_Elbleed_raid	500	45000	MON_TOWERGRACIEL01_MOB
10	TRUE	0	150	30	5	151062	DKTVJPN04_Elbleed_raid	500	45000	MON_TOWERGRACIEL01_MOB
11	TRUE	1	150	5	0	151062	DKTVJPN04_Elbleed_raid	500	50000	MON_TOWERGRACIEL01_CALLMON
12	TRUE	2	150	8	4	151062	DKTVJPN04_Elbleed_raid	500	50000	MON_TOWERGRACIEL01_CALLMON
13	TRUE	3	150	4	0	151236	towergraciel_elgoomboss4F	50	900000	MON_TOWERGRACIEL01_MOB
