ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	100	50	25	40151	Monster_einwetter_sp	500	30000	None
2	TRUE	0	100	50	25	40161	Monster_einwetter_rg	500	30000	None
3	TRUE	0	100	50	25	40171	Monster_einwetter_dg	500	30000	None
4	TRUE	0	100	50	25	40181	Monster_TwinHeaded_lght	500	30000	None
5	TRUE	0	96	50	25	40211	Monster_GaviDiLight_lght	500	30000	None
6	TRUE	0	96	50	25	40221	Monster_lightskeletontg	500	30000	None
7	TRUE	0	98	10	5	40191	Monster_WeirdKnight_lght	500	80000	None
8	TRUE	0	96	50	25	40201	Monster_Masquerader_lght	500	30000	None
9	TRUE	1	107	1	0	90161	MONSTER_EINWETTERCHIEFTAIN_RAID1	1000	190000	MONSTER_EINWETTERCHIEFTAIN_RAID
10	TRUE	2	107	1	0	90161	MONSTER_EINWETTERCHIEFTAIN_RAID2	1000	190000	MONSTER_EINWETTERCHIEFTAIN_RAID
11	TRUE	3	107	1	0	90161	MONSTER_EINWETTERCHIEFTAIN_RAID3	1000	190000	MONSTER_EINWETTERCHIEFTAIN_RAID
