ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	FALSE	0	100	25	0	22500	Monster_Demoniac _GaviDiGavi_01	500	5000	MON_MISSION_MASUNG_POT_NOR
2	FALSE	0	100	25	0	22501	Monster_Demoniac _ScarletClaw_01	500	5000	MON_MISSION_MASUNG_POT_NOR
3	FALSE	0	100	25	0	22502	Monster_Demoniac _Merman_01	500	5000	MON_MISSION_MASUNG_POT_NOR
4	FALSE	0	100	25	0	22503	Monster_Demoniac _Imanon_01	500	5000	MON_MISSION_MASUNG_POT_NOR
5	FALSE	0	100	25	0	22504	Monster_Demoniac _Pasiar_01	500	5000	MON_MISSION_MASUNG_POT_NOR
6	FALSE	0	100	25	0	22505	Monster_Demoniac _DreadAnchor_01	500	5000	MON_MISSION_MASUNG_POT_NOR
7	FALSE	0	100	25	0	22500	Monster_Demoniac _GaviDiGavi_01	500	5000	MON_MISSION_MASUNG_POT_NOR
8	FALSE	0	100	25	0	22501	Monster_Demoniac _ScarletClaw_01	500	5000	MON_MISSION_MASUNG_POT_NOR
9	FALSE	0	100	25	0	22502	Monster_Demoniac _Merman_01	500	5000	MON_MISSION_MASUNG_POT_NOR
10	FALSE	0	100	25	0	22503	Monster_Demoniac _Imanon_01	500	5000	MON_MISSION_MASUNG_POT_NOR
11	FALSE	1	100	25	0	22504	Monster_Demoniac _Pasiar_01	500	5000	MON_MISSION_MASUNG_POT_NOR
12	FALSE	1	100	25	0	22505	Monster_Demoniac _DreadAnchor_01	500	5000	MON_MISSION_MASUNG_POT_NOR
13	FALSE	1	100	25	0	22500	Monster_Demoniac _GaviDiGavi_01	500	5000	MON_MISSION_MASUNG_POT_NOR
14	FALSE	1	100	25	0	22501	Monster_Demoniac _ScarletClaw_01	500	5000	MON_MISSION_MASUNG_POT_NOR
15	FALSE	1	100	25	0	22502	Monster_Demoniac _Merman_01	500	5000	MON_MISSION_MASUNG_POT_NOR
16	FALSE	1	100	25	0	22503	Monster_Demoniac _Imanon_01	500	5000	MON_MISSION_MASUNG_POT_NOR
17	FALSE	1	100	25	0	22504	Monster_Demoniac _Pasiar_01	500	5000	MON_MISSION_MASUNG_POT_NOR
18	FALSE	1	100	25	0	22505	Monster_Demoniac _DreadAnchor_01	500	5000	MON_MISSION_MASUNG_POT_NOR
19	FALSE	1	100	25	0	22500	Monster_Demoniac _GaviDiGavi_01	500	5000	MON_MISSION_MASUNG_POT_NOR
20	FALSE	1	100	25	0	22501	Monster_Demoniac _ScarletClaw_01	500	5000	MON_MISSION_MASUNG_POT_NOR
21	FALSE	2	100	25	0	22502	Monster_Demoniac _Merman_01	500	5000	MON_MISSION_MASUNG_POT_NOR
22	FALSE	2	100	25	0	22503	Monster_Demoniac _Imanon_01	500	5000	MON_MISSION_MASUNG_POT_NOR
23	FALSE	2	100	25	0	22504	Monster_Demoniac _Pasiar_01	500	5000	MON_MISSION_MASUNG_POT_NOR
24	FALSE	2	100	25	0	22505	Monster_Demoniac _DreadAnchor_01	500	5000	MON_MISSION_MASUNG_POT_NOR
25	FALSE	2	100	25	0	22500	Monster_Demoniac _GaviDiGavi_01	500	5000	MON_MISSION_MASUNG_POT_NOR
26	FALSE	2	100	25	0	22501	Monster_Demoniac _ScarletClaw_01	500	5000	MON_MISSION_MASUNG_POT_NOR
27	FALSE	2	100	25	0	22502	Monster_Demoniac _Merman_01	500	5000	MON_MISSION_MASUNG_POT_NOR
28	FALSE	2	100	25	0	22503	Monster_Demoniac _Imanon_01	500	5000	MON_MISSION_MASUNG_POT_NOR
29	FALSE	2	100	25	0	22504	Monster_Demoniac _Pasiar_01	500	5000	MON_MISSION_MASUNG_POT_NOR
30	FALSE	2	100	25	0	22505	Monster_Demoniac _DreadAnchor_01	500	5000	MON_MISSION_MASUNG_POT_NOR
