ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	FALSE	0	110	15	0	22546	Monster_Demoniac_Ghoul	500	5000	MON_MISSION_MASUNG_SCT_NOR
2	FALSE	0	110	15	0	22547	Monster_Demoniac_Ghouldefender	500	5000	MON_MISSION_MASUNG_SCT_NOR
3	FALSE	0	110	15	0	22548	Monster_Demoniac_Ghoulscout	500	5000	MON_MISSION_MASUNG_SCT_NOR
4	FALSE	0	110	15	0	22549	Monster_Demoniac_Ghoularcher	500	5000	MON_MISSION_MASUNG_SCT_NOR
5	FALSE	0	110	15	0	22550	Monster_Demoniac_Wraith	500	5000	MON_MISSION_MASUNG_SCT_NOR
6	FALSE	1	110	15	0	22546	Monster_Demoniac_Ghoul	500	5000	MON_MISSION_MASUNG_SCT_NOR
7	FALSE	1	110	15	0	22547	Monster_Demoniac_Ghouldefender	500	5000	MON_MISSION_MASUNG_SCT_NOR
8	FALSE	1	110	15	0	22548	Monster_Demoniac_Ghoulscout	500	5000	MON_MISSION_MASUNG_SCT_NOR
9	FALSE	1	110	15	0	22549	Monster_Demoniac_Ghoularcher	500	5000	MON_MISSION_MASUNG_SCT_NOR
10	FALSE	1	110	15	0	22550	Monster_Demoniac_Wraith	500	5000	MON_MISSION_MASUNG_SCT_NOR
11	FALSE	2	110	15	0	22546	Monster_Demoniac_Ghoul	500	5000	MON_MISSION_MASUNG_SCT_NOR
12	FALSE	2	110	15	0	22547	Monster_Demoniac_Ghouldefender	500	5000	MON_MISSION_MASUNG_SCT_NOR
13	FALSE	2	110	15	0	22548	Monster_Demoniac_Ghoulscout	500	5000	MON_MISSION_MASUNG_SCT_NOR
14	FALSE	2	110	15	0	22549	Monster_Demoniac_Ghoularcher	500	5000	MON_MISSION_MASUNG_SCT_NOR
15	FALSE	2	110	15	0	22550	Monster_Demoniac_Wraith	500	5000	MON_MISSION_MASUNG_SCT_NOR
