ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	FALSE	0	100	25	0	22506	Monster_Demoniac _HollowFootman_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
2	FALSE	0	100	25	0	22507	Monster_Demoniac _Walter_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
3	FALSE	0	100	25	0	22508	Monster_Demoniac _Lloyd_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
4	FALSE	0	100	25	0	22509	Monster_Demoniac _Helena_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
5	FALSE	0	100	25	0	22510	Monster_Demoniac _Sasha_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
6	FALSE	0	100	25	0	22506	Monster_Demoniac _HollowFootman_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
7	FALSE	0	100	25	0	22507	Monster_Demoniac _Walter_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
8	FALSE	0	100	25	0	22508	Monster_Demoniac _Lloyd_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
9	FALSE	0	100	25	0	22509	Monster_Demoniac _Helena_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
10	FALSE	1	100	25	0	22510	Monster_Demoniac _Sasha_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
11	FALSE	1	100	25	0	22506	Monster_Demoniac _HollowFootman_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
12	FALSE	1	100	25	0	22507	Monster_Demoniac _Walter_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
13	FALSE	1	100	25	0	22508	Monster_Demoniac _Lloyd_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
14	FALSE	1	100	25	0	22509	Monster_Demoniac _Helena_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
15	FALSE	1	100	25	0	22510	Monster_Demoniac _Sasha_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
16	FALSE	1	100	25	0	22506	Monster_Demoniac _HollowFootman_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
17	FALSE	1	100	25	0	22507	Monster_Demoniac _Walter_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
18	FALSE	2	100	25	0	22508	Monster_Demoniac _Lloyd_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
19	FALSE	2	100	25	0	22509	Monster_Demoniac _Helena_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
20	FALSE	2	100	25	0	22510	Monster_Demoniac _Sasha_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
21	FALSE	2	100	25	0	22506	Monster_Demoniac _HollowFootman_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
22	FALSE	2	100	25	0	22507	Monster_Demoniac _Walter_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
23	FALSE	2	100	25	0	22508	Monster_Demoniac _Lloyd_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
24	FALSE	2	100	25	0	22509	Monster_Demoniac _Helena_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
25	FALSE	2	100	25	0	22510	Monster_Demoniac _Sasha_01	500	5000	MON_MISSION_MASUNG_TOR_NOR
