ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	Range	RespawnTime	Tactics
1	TRUE	0	105	3	2	11531	100	50000	MON_LUMIN_03
2	TRUE	0	105	3	2	10841	100	50000	MON_LUMIN_03
3	TRUE	0	107	3	2	10869	100	50000	MON_LUMIN_03
4	TRUE	0	112	3	2	10852	100	50000	MON_LUMIN_03
5	TRUE	0	115	3	2	10862	100	50000	MON_LUMIN_03
6	TRUE	0	115	3	2	10882	100	50000	MON_LUMIN_03
7	TRUE	0	115	3	2	10872	100	50000	MON_LUMIN_03
8	TRUE	0	117	3	2	70040	100	50000	MON_MISSION_02
9	TRUE	0	117	3	2	70050	100	50000	MON_MISSION_02
10	TRUE	0	117	3	2	70060	100	50000	MON_MISSION_02
