ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	C1_ALT_KANO	npc_comm_kano	346	FALSE	minimap_npc.bmp	<$>184229</>	None	<$>184229</>	-7271	5739	600	C1_ALT_KANO	None
2	C1_ALT_VEIL	npc_comm_Veil	291	FALSE	minimap_npc.bmp	<$>101019</>	None	<$>101019</>	-6100	7038	600	C1_ALT_VEIL	None
3	C1_ALT_BARREL	npc_comm_Barrel	279	FALSE	minimap_npc.bmp	<$>88705</>	None	<$>88705</>	-4067	4378	600	C1_ALT_BARREL	None
4	C1_ALT_JACK	COM_JACK	44	FALSE	minimap_npc.bmp	<$>85</>	None	<$>85</>	-5431	3843	600	C1_ALT_JACK	None
5	C1_ALT_EDUARDO	npc_comm_Eduardo	192	FALSE	minimap_npc.bmp	<$>11220</>	None	<$>11220</>	-3770	3962	600	C1_ALT_EDUARDO	None
6	C1_ALT_SELVA	npc_comm_Selva	180	FALSE	minimap_npc.bmp	<$>1938</>	None	<$>1938</>	-3745	3785	600	C1_ALT_SELVA	None
7	C1_ALT_RAVEN	npc_raven	170	FALSE	minimap_npc.bmp	<$>5353</>	None	<$>5353</>	-4464	4866	600	C1_ALT_RAVEN	None
8	C1_ALT_GRRSIA	KTV_GARSIA	157	FALSE	minimap_npc.bmp	<$>1937</>	None	<$>1937</>	-4295	5124	600	C1_ALT_GRRSIA	None
9	C1_ALT_JD	npc_jdrare	161	FALSE	minimap_npc.bmp	<$>219460</>	None	<$>219460</>	-4468	6135	600	C1_ALT_JD	None
10	C1_ALT_GRACE	NPC_ALT_GRACE	182	FALSE	minimap_npc.bmp	<$>47568</>	None	<$>47568</>	-3570	3134	599	C1_ALT_GRACE	None
11	C1_ALT_MARCHETTI	npc_mar_alt	202	FALSE	minimap_npc.bmp	<$>88700</>	None	<$>88700</>	-3543	2960	599	C1_ALT_MARCHETTI	None
21	C1_ALT_BURLONENT	npc_comm_targa_m_B	201	FALSE	minimap_npc.bmp	<$>224351</>	None	<$>224351</>	6332	2146	-3	C1_ALT_BURLONENT	None
31	C1_ALT_LACEL	npc_comm_lacel	163	FALSE	minimap_npc.bmp	<$>47086</>	None	<$>47086</>	8230	216	1199	C1_ALT_LACEL	None
32	C1_ALT_BKSPON1	npc_set_blackscorm	154	FALSE	minimap_npc.bmp	<$>219462</>	None	<$>219462</>	8641	726	1199	C1_ALT_BKSPON	None
33	C1_ALT_BKSPON2	npc_set_blackscorf	154	FALSE	minimap_npc.bmp	<$>219462</>	None	<$>219462</>	8326	-287	1200	C1_ALT_BKSPON	None
34	C1_ALT_MER	npc_comm_targa_m_A	198	FALSE	minimap_gun.bmp	<$>224352</>	None	<$>224352</>	8503	2163	1199	C1_ALT_MER	<$>64967</>
35	C1_ALT_LAHEMA	npc_comm_rahemah	157	FALSE	minimap_npc.bmp	<$>219463</>	None	<$>219463</>	8327	-16	1199	C1_ALT_LAHEMA	None
36	C1_ALT_WEAPON	npc_comm_targa_m2_A	200	FALSE	minimap_weapon.bmp	<$>224353</>	None	<$>224353</>	8224	3144	1200	C1_ALT_WEAPON	<$>148346</>
37	SHOP_ALT_CITEM	npc_comm_targa_f_A	253	FALSE	minimap_tool.bmp	<$>224354</>	None	<$>224354</>	5938	4759	1200	SHOP_ALT_CITEM	<$>10799</>
38	C1_ALT_ENCHANT	npc_comm_targa_f2_A	44	FALSE	minimap_enchant.bmp	<$>224355</>	None	<$>224355</>	6838	3862	1200	SHOP_AUCH_ENCHANT	<$>10796</>
39	SHOP_BULLET	npc_forge_nofireX	192	FALSE	None	None	None	<$>51707</>	8427	2788	1200	BULLET_SHOP	None
40	SHOP_MARKET	REB_AUCTION_DESK	77	FALSE	minimap_market.bmp	None	None	<$>64453</>	6056	-671	1200	SHOP_MARKET	<$>64453</>
41	leonardo_cas	AUCH_LEON	72	FALSE	minimap_npc.bmp	<$>10806</>	None	<$>10806</>	5701	-574	1200	LEO_SERVICE	None
42	SHOP_AUCH_ENCHIP	ETC_npc_slotmachine_set2	44	FALSE	None	None	None	<$>148348</>	7086	3572	1200	SHOP_AUCH_ENCHIP	None
43	NPC_LUMIN_CHANGER	npc_forge_nofireY	256	FALSE	None	None	None	<$>10797</>	6443	4611	1200	NPC_LUMIN_CHANGER	None
44	SHOP_CAS_SOCKET	npc_comm_targa_f2_B	252	FALSE	minimap_socket.bmp	<$>224356</>	None	<$>224356</>	6193	4687	1200	SHOP_REB_SOCKET	<$>10795</>
45	SHOP_BAH_REINFORCE	npc_comm_targa_m2_B	264	FALSE	minimap_reinforce.bmp	<$>224357</>	None	<$>224357</>	6613	642	1200	SHOP_VIRON_REINFORCE	<$>64952</>
46	EVENT_RING_CHANGER	npc_com_anvil	208	FALSE	None	None	None	<$>148347</>	6765	732	1200	ITEM_REFINEMENT	None
47	SHOP_ALT_MAGSHOP	npc_comm_targa_f3_B	209	FALSE	minimap_magic.bmp	<$>224358</>	None	<$>224358</>	8101	3682	1199	SHOP_ALT_MAGSHOP	<$>51761</>
51	C1_ALT_WILLAM	alt_willam	116	FALSE	minimap_npc.bmp	<$>117517</>	None	<$>117517</>	4589	6378	800	C1_ALT_WILLAM	None
52	C1_ALT_SERIOUS	alt_serious	256	FALSE	minimap_npc.bmp	<$>116871</>	None	<$>116871</>	4813	8577	800	C1_ALT_SERIOUS	None
53	C1_ALT_SARIEL	alt_sariel	344	FALSE	minimap_npc.bmp	<$>156732</>	None	<$>156732</>	2232	8275	800	C1_ALT_SARIEL	None
54	C1_ALT_LAURA	alt_laura	270	FALSE	minimap_npc.bmp	<$>120817</>	None	<$>120817</>	3170	8899	799	C1_ALT_LAURA	None
55	C1_ALT_PATRICK	alt_patrick	326	FALSE	minimap_npc.bmp	<$>126194</>	None	<$>126194</>	1810	7509	779	C1_ALT_PATRICK	None
56	C1_ALT_CRUDARIA	npc_crudaria	2	FALSE	minimap_npc.bmp	<$>210520</>	None	<$>210520</>	833	5904	800	C1_ALT_CRUDARIA	None
71	C1_ALT_NEO	npc_comm_NEO	121	FALSE	minimap_npc.bmp	<$>47096</>	None	<$>47096</>	6969	-6737	1000	C1_ALT_NEO	None
72	C1_ALT_LUCIA	npc_comm_Lucia	21	FALSE	minimap_npc.bmp	<$>219464</>	None	<$>219464</>	5436	-5860	1000	C1_ALT_LUCIA	None
73	C1_ALT_LYNN	npc_lynn	220	FALSE	minimap_npc.bmp	<$>148929</>	None	<$>148929</>	7024	-3877	1000	C1_ALT_LYNN	None
