ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Script	ShopName
1	ESP_OFFICER02	ESP_SOLF	89	FALSE	None	<$>64412</>	<$>64412</>	7	-11688	1311	ESP_OFFICER	None
2	ESP_OFFICER01	ESP_SOLF	260	FALSE	None	<$>64412</>	<$>64412</>	-32	6984	538	ESP_OFFICER	None
3	EntranceArrow3	TutorialArrow_01	87	FALSE	None	None	None	-2689	-4701	903	ENTRANCEARROW	None
4	EntranceArrow4	TutorialArrow_01	89	FALSE	None	None	None	-2477	-6584	998	ENTRANCEARROW	None
5	EntranceArrow5	TutorialArrow_01	89	FALSE	None	None	None	-29	6640	514	ENTRANCEARROW	None
6	EntranceArrow6	TutorialArrow_01	53	FALSE	None	None	None	-856	6559	392	ENTRANCEARROW	None
7	EntranceArrow7	TutorialArrow_01	121	FALSE	None	None	None	865	6527	365	ENTRANCEARROW	None
8	EntranceArrow8	TutorialArrow_01	87	FALSE	None	None	None	1006	4941	188	ENTRANCEARROW	None
9	EntranceArrow9	TutorialArrow_01	86	FALSE	None	None	None	-1041	4933	188	ENTRANCEARROW	None
10	EntranceArrow10	TutorialArrow_01	33	FALSE	None	None	None	812	3008	433	ENTRANCEARROW	None
11	EntranceArrow11	TutorialArrow_01	146	FALSE	None	None	None	-841	2982	433	ENTRANCEARROW	None
12	EntranceArrow12	TutorialArrow_01	88	FALSE	None	None	None	-14	2210	658	ENTRANCEARROW	None
13	EntranceArrow13	TutorialArrow_01	35	FALSE	None	None	None	834	1410	835	ENTRANCEARROW	None
14	EntranceArrow14	TutorialArrow_01	130	FALSE	None	None	None	-853	1424	835	ENTRANCEARROW	None
15	EntranceArrow15	TutorialArrow_01	89	FALSE	None	None	None	-13	686	984	ENTRANCEARROW	None
16	EntranceArrow16	TutorialArrow_01	89	FALSE	None	None	None	-19	-1232	984	ENTRANCEARROW	None
17	EntranceArrow17	TutorialArrow_01	129	FALSE	None	None	None	727	-1377	835	ENTRANCEARROW	None
18	EntranceArrow18	TutorialArrow_01	35	FALSE	None	None	None	-739	-1427	813	ENTRANCEARROW	None
19	EntranceArrow19	TutorialArrow_01	92	FALSE	None	None	None	991	-3270	544	ENTRANCEARROW	None
20	EntranceArrow20	TutorialArrow_01	82	FALSE	None	None	None	-1019	-3309	544	ENTRANCEARROW	None
21	EntranceArrow21	TutorialArrow_01	31	FALSE	None	None	None	709	-5216	835	ENTRANCEARROW	None
22	EntranceArrow22	TutorialArrow_01	146	FALSE	None	None	None	-716	-5201	835	ENTRANCEARROW	None
23	EntranceArrow23	TutorialArrow_01	41	FALSE	None	None	None	809	-6704	1161	ENTRANCEARROW	None
24	EntranceArrow24	TutorialArrow_01	140	FALSE	None	None	None	-825	-6681	1161	ENTRANCEARROW	None
25	EntranceArrow25	TutorialArrow_01	358	FALSE	None	None	None	901	-7556	1212	ENTRANCEARROW	None
26	EntranceArrow26	TutorialArrow_01	178	FALSE	None	None	None	-869	-7554	1237	ENTRANCEARROW	None
27	EntranceArrow27	TutorialArrow_01	87	FALSE	None	None	None	-2	-9395	1311	ENTRANCEARROW	None
28	EntranceArrow29	TutorialArrow_01	89	FALSE	None	None	None	-17	-5712	984	ENTRANCEARROW	None
29	EntranceArrow30	TutorialArrow_01	0	FALSE	None	None	None	-807	-5970	984	ENTRANCEARROW	None
30	EntranceArrow31	TutorialArrow_01	28	FALSE	None	None	None	-918	-299	986	ENTRANCEARROW	None
31	EntranceArrow32	TutorialArrow_01	176	FALSE	None	None	None	959	-39	988	ENTRANCEARROW	None
32	EntranceArrow33	TutorialArrow_01	178	FALSE	None	None	None	3694	-40	984	ENTRANCEARROW	None
