ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	C1_ARM_BRYAN	arm_bryan	7	FALSE	minimap_npc.bmp	<$>117853</>	None	<$>117853</>	-17461	-702	182	C1_ARM_BRYAN	None
2	C1_ARM_ALPHERATZ	arm_willam	178	FALSE	minimap_npc.bmp	<$>117854</>	None	<$>117854</>	-10517	168	-69	C1_ARM_ALPHERATZ	None
3	arm_dunbasic_olga	arm_paladin_m2	10	FALSE	minimap_npc.bmp	<$>117855</>	None	<$>117855</>	-16456	-3513	148	C1_ARM_OLGA	None
4	arm_dunbasic_hugo	arm_paladin_m3	97	FALSE	minimap_npc.bmp	<$>117856</>	None	<$>117856</>	-14960	564	38	C1_ARM_HUGO	None
5	arm_dunbasic_board	ETC_Board	185	FALSE	minimap_npc.bmp	<$>117857</>	None	<$>117857</>	-12704	-924	38	ARM_DUN_BOARD	None
6	arm_dunbasic_paladin	arm_paladin_f	304	FALSE	minimap_npc.bmp	<$>117858</>	None	<$>117858</>	-11982	1023	38	ARM_DUN_REWARD	None
101	arm_dunbasic_paladin1	arm_paladin_m	199	FALSE	minimap_npc.bmp	None	None	<$>117361</>	-12328	-1600	38	C1_DUNARM_PALADIN1	None
102	arm_dunbasic_paladin2	arm_paladin_f3	12	FALSE	minimap_npc.bmp	None	None	<$>117361</>	-13480	-1990	38	C1_DUNARM_PALADIN2	None
103	arm_dunbasic_paladin11	arm_paladin_f3__dead	92	FALSE	minimap_npc.bmp	None	None	<$>117859</>	-15454	822	38	C1_DUNARM_PALADIN3	None
104	arm_dunbasic_paladin12	arm_paladin_m3__dead	82	FALSE	minimap_npc.bmp	None	None	<$>117859</>	-14813	1346	38	C1_DUNARM_PALADIN4	None
105	arm_dunbasic_paladin13	arm_paladin_f2__dead	254	FALSE	minimap_npc.bmp	None	None	<$>117860</>	-14493	1271	38	C1_DUNARM_PALADIN5	None
106	C1_ARM_MICHL	arm_mori_f_1	270	FALSE	minimap_npc.bmp	<$>117861</>	None	<$>117861</>	-13155	6526	135	C1_ARM_MICHL	None
107	C1_ARM_LAPAEL	arm_mori_m_1	0	FALSE	minimap_npc.bmp	<$>117862</>	None	<$>117862</>	-13500	6198	135	C1_ARM_LAPAEL	None
108	arm_dunbasic_mmtomoriknight1	arm_mori_f_2	270	FALSE	minimap_npc.bmp	None	None	<$>117863</>	-11923	4335	135	C1_DUNARM_MMTMORIKNIGHT1	None
109	arm_dunbasic_mmtomoriknight2	arm_mori_m_2_sit	90	FALSE	minimap_npc.bmp	None	None	<$>117864</>	-10494	4441	135	C1_DUNARM_MMTMORIKNIGHT2	None
110	arm_dunbasic_mmtomoriknight3	arm_mori_f_2_sit	270	FALSE	minimap_npc.bmp	None	None	<$>117865</>	-10839	5270	135	C1_DUNARM_MMTMORIKNIGHT3	None
111	arm_dunbasic_mmtomoriknight4	arm_mori_f_3_sit	90	FALSE	minimap_npc.bmp	None	None	<$>117866</>	-11123	4304	135	C1_DUNARM_MMTMORIKNIGHT4	None
120	arm_necrobible	arm_necrobible	300	FALSE	minimap_npc.bmp	<$>117867</>	None	<$>117867</>	-15614	6721	150	C1_ARM_NECRO_BIBLE	None
200	tr_npc_setting	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	-12997	2438	35	ARM_DUNBASIC_NPC_SETTING	None
300	tr_armmain67	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>125745</>	-13102	2402	40	TR_MAINQUEST_ARM67	None
301	tr_laura52	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>125746</>	-12236	8802	150	TR_LAURA_SCOUT_52	None
302	tr_armmain88	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>129305</>	-12863	-1839	35	TR_MAINQUEST_ARM88	None
303	tr_armmain103	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>132459</>	-16018	1021	40	TR_MAINQUEST_ARM103	None
304	tr_armmain109	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>140280</>	-15445	2790	25	TR_MAINQUEST_ARM109	None
305	tr_armmain124	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>140281</>	-13139	-596	35	TR_MAINQUEST_ARM124	None
306	tr_vanscout02	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>142106</>	-13312	8210	135	TR_ARM_VAN02	None
307	tr_bryan03	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>146054</>	-15622	-1256	35	TR_BRYAN03	None
308	tr_bryan08	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>146055</>	-15942	-484	40	TR_BRYAN08	None
400	MorisBlessShop	arm_mori_m_3	266	FALSE	minimap_npc.bmp	None	None	<$>146825</>	-9383	3389	136	MORI_SHOP	None
