ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	C1_BST_HEINZ	npc_bristiainfanty2	358	FALSE	minimap_npc.bmp	None	None	<$>89518</>	-10625	-18177	765	C1_BST_HEINZ	None
2	C1_BST_PETER	npc_worker01	185	FALSE	minimap_npc.bmp	None	None	<$>89519</>	-5152	-22679	-104	C1_BST_PETER	None
3	NPC_BST_UDY	COIM_FISHb	0	FALSE	minimap_npc.bmp	<$>89521</>	None	<$>89520</>	-7223	-22571	-91	NPC_BST_UDY	None
4	C1_BST_IRELL	npc_newcaptainf1	54	FALSE	minimap_npc.bmp	None	None	<$>89522</>	-4971	-19163	559	C1_BST_IRELL	None
5	C1_BST_GAVE	npc_bristiaboy	330	FALSE	minimap_npc.bmp	None	None	<$>89523</>	-3535	-17113	572	C1_BST_GAVE	None
6	bst_soldier05	npc_bristiainfanty1	200	FALSE	None	None	None	<$>89524</>	-6015	-19144	559	NPC_BST_GUIDE	None
7	bst_soldier02	npc_bristiainfanty1	11	FALSE	None	None	None	<$>89524</>	-10027	-19006	607	NPC_BST_PORTGUARD_1	None
8	bst_soldier03	npc_bristiainfanty1	191	FALSE	None	None	None	<$>89524</>	-9561	-19021	606	NPC_BST_PORTGUARD_2	None
9	bst_soldier04	npc_bristiainfanty1	20	FALSE	None	None	None	<$>89524</>	-6462	-19153	560	NPC_BST_PORTGUARD_3	None
10	bst_soldier27	npc_bristiainfanty1	354	FALSE	None	None	None	<$>89545</>	-8556	-15332	716	NPC_BST_SOLDIER_1	None
11	bst_soldier18	npc_bristiainfanty1	0	FALSE	None	None	None	<$>89549</>	-6096	-10341	712	NPC_BST_SOLDIER_2	None
12	bst_soldier19	npc_bristiainfanty1	0	FALSE	None	None	None	<$>89549</>	-6144	-10740	713	NPC_BST_SOLDIER_3	None
13	NPC_BST_ELMER	npc_noble01	250	FALSE	None	None	None	<$>89527</>	6003	-17561	552	NPC_BST_ELMER	None
14	NPC_BST_EMIRI	npc_noble02	250	FALSE	None	None	None	<$>89528</>	5889	-17507	552	NPC_BST_EMIRI	None
15	NPC_BST_WMERCAHNT	REB_BANK	201	FALSE	None	None	None	<$>89529</>	13154	-528	1102	NPC_BST_WMERCAHNT	None
16	BRISTIA_BOX_CHANGER	npc_com_anvil2	89	FALSE	None	None	None	<$>91475</>	-6112	-5236	718	BRISTIA_BOX_CHANGER	None
17	bst_soldier06	npc_bristiainfanty2	180	FALSE	None	None	None	<$>89525</>	3958	-8805	597	NPC_BST_SOLDIER_4	None
18	bst_soldier07	npc_bristiainfanty2	180	FALSE	None	None	None	<$>89525</>	3972	-9353	597	NPC_BST_SOLDIER_5	None
19	bst_soldier08	npc_bristiainfanty1	220	FALSE	None	None	None	<$>89526</>	-3999	-13778	754	NPC_BST_SOLDIER_6	None
20	C1_BST_WILLIAM	npc_bristiainfanty4	277	FALSE	minimap_npc.bmp	None	None	<$>89531</>	-608	7338	1810	C1_BST_WILLIAM	None
