ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	C1_BST_MARCHETTI	npc_marchetti	58	FALSE	minimap_npc.bmp	<$>88700</>	None	<$>88700</>	-362	-5903	527	C1_BST_MARCHETTI	None
2	NPC_BST_FORDSCHE	npc_bristia_youngman2	122	FALSE	minimap_npc.bmp	<$>89584</>	None	<$>89584</>	-1174	-5937	527	NPC_BST_FORDSCHE	None
3	NPC_BST_KELLY	npc_bristia_woman1	113	FALSE	minimap_npc.bmp	<$>89585</>	None	<$>89585</>	965	-5907	527	NPC_BST_KELLY	None
4	NPC_BST_ZEPPELIN	npc_repair	257	FALSE	minimap_npc.bmp	<$>89586</>	None	<$>89586</>	-458	3046	-26	NPC_BST_ZEPPELIN	None
5	bst_soldier01	npc_bristiainfanty1	181	FALSE	minimap_npc.bmp	<$>89587</>	None	<$>89587</>	6010	1983	-27	NPC_BST_LABGUIDE	None
6	bst_soldier02	npc_bristiainfanty1	181	FALSE	None	None	None	<$>89587</>	6010	1452	-27	NPC_BST_LABGUARD	None
7	bst_soldier03	npc_bristiainfanty1	270	FALSE	None	None	None	<$>89587</>	-260	2460	-10	NPC_BST_LABGUARD	None
8	bst_soldier04	npc_bristiainfanty1	270	FALSE	None	None	None	<$>89587</>	2480	3800	-26	NPC_BST_LABGUARD	None
9	bst_soldier05	npc_bristiainfanty1	270	FALSE	None	None	None	<$>89587</>	3430	3800	-26	NPC_BST_LABGUARD	None
10	bst_soldier06	npc_bristiainfanty1	270	FALSE	None	None	None	<$>89587</>	-2806	3926	-26	NPC_BST_LABGUARD	None
11	bst_soldier07	npc_bristiainfanty1	358	FALSE	None	None	None	<$>89587</>	-6000	1350	502	NPC_BST_LABGUARD	None
12	bst_soldier08	npc_bristiainfanty1	359	FALSE	None	None	None	<$>89587</>	-6000	2130	504	NPC_BST_LABGUARD	None
13	bst_soldier09	npc_bristiainfanty1	359	FALSE	None	None	None	<$>89587</>	-6000	-380	502	NPC_BST_LABGUARD	None
14	bst_soldier10	npc_bristiainfanty1	359	FALSE	None	None	None	<$>89587</>	-6000	-1150	503	NPC_BST_LABGUARD	None
16	bst_soldier11	npc_bristiainfanty1	180	FALSE	None	None	None	<$>89587</>	3527	-2345	519	NPC_BST_LABGUARD	None
17	bst_soldier12	npc_bristiainfanty1	180	FALSE	None	None	None	<$>89587</>	3527	-2867	519	NPC_BST_LABGUARD	None
18	npc_labman01	npc_repair2	18	FALSE	None	None	None	<$>89588</>	-3382	-4063	504	NPC_BST_LABMAN1	None
19	npc_labman02	npc_repair2	355	FALSE	None	None	None	<$>89588</>	275	-804	0	NPC_BST_LABMAN2	None
20	C1_BST_BABENCO	npc_repair2	88	FALSE	minimap_npc.bmp	<$>99489</>	None	<$>99489</>	1474	692	0	C1_BST_BABENCO	None
21	C1_BST_GYRO	npc_repair2	277	FALSE	minimap_npc.bmp	<$>99490</>	None	<$>99490</>	5093	2882	-26	C1_BST_GYRO	None
22	npc_distiller	npc_forge_nofireX	180	FALSE	minimap_npc.bmp	<$>85124</>	None	<$>85124</>	2300	-3465	0	NPC_BST_DISTILLER	None
23	TR_BST_LAB_ENTER	EntranceArrow	354	FALSE	minimap_warpIn.bmp	None	INSIDE	<$>89589</>	3527	-2637	519	TR_BST_LAB_ENTER	None
24	NPC_BST_ROY	npc_brisien	180	FALSE	minimap_npc.bmp	<$>91477</>	None	<$>91477</>	3455	-2082	519	NPC_BST_ROY	None
25	TR_AIRSHIP_TESTFLY	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	1487	1742	-49	TR_AIRSHIP_TESTFLY	None
26	TR_BST_LAB_QUEST	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	4225	1739	-49	TR_BST_LAB_QUEST	None
27	TR_BST_LAB_SHEARCH1	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	345	3992	-4	TR_BST_LAB_SHEARCH1	None
28	TR_BST_LAB_SHEARCH2	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	-1519	3676	-26	TR_BST_LAB_SHEARCH2	None
29	TR_BST_LAB_SHEARCH3	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	-4523	-4445	504	TR_BST_LAB_SHEARCH3	None
30	TR_BST_LAB_SHEARCH4	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	2864	-5364	504	TR_BST_LAB_SHEARCH4	None
31	TR_BST_LAB_REPUBLICAN	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>13438</>	-48	-4737	441	TR_BST_LAB_REPUBLICAN	None
35	tr_armmain10	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>117873</>	912	1656	-49	TR_MAINQUEST_ARM10	None
36	TR_QUEST171705_5	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>13438</>	-461	3532	961	TR_QUEST171705_5	None
100	TR_SCOUT_VALLERIAVEN_03	TutorialTrigger_White_3m	0	FALSE	None	None	None	None	964	-1535	-27	TR_SCOUT_VALLERIAVEN_03	None
200	TR_BST_LAB	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	-3426	-2403	0	TR_BST_LAB	None
