ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	TR_CAS_TEMPLE01	CasTrigger_Blue_10m	0	FALSE	minimap_portal.bmp	None	None	<$>64505</>	-1709	-4536	6315	TR_CAS_TEMPLE01	None
2	TR_CAS_TEMPLE02	CasTrigger_Blue_10m	0	FALSE	minimap_portal.bmp	None	None	<$>64505</>	1709	-4542	6315	TR_CAS_TEMPLE02	None
3	TR_CAS_TEMPLE03	CasTrigger_Blue_10m	0	FALSE	minimap_portal.bmp	None	None	<$>64505</>	-13855	-12238	5113	TR_CAS_TEMPLE03	None
4	TR_CAS_TEMPLE04	CasTrigger_Blue_10m	0	FALSE	minimap_portal.bmp	None	None	<$>64505</>	13854	-12235	4307	TR_CAS_TEMPLE04	None
5	TR_CAS_TEMPLE05	CasTrigger_Blue_10m	0	FALSE	minimap_portal.bmp	None	None	<$>64505</>	-11	12356	5701	TR_CAS_TEMPLE05	None
6	TR_CAS_TEMPLE06	CasTrigger_Blue_10m	0	FALSE	minimap_portal.bmp	None	None	<$>64505</>	9	17382	6721	TR_CAS_TEMPLE06	None
7	TR_CAS_TEMPLE07	CasTrigger_Blue_10m	0	FALSE	minimap_portal.bmp	None	None	<$>64505</>	-10629	-20864	2112	TR_CAS_TEMPLE07	None
8	TR_CAS_TEMPLE08	CasTrigger_Blue_10m	0	FALSE	minimap_portal.bmp	None	None	<$>64505</>	10679	-20893	2112	TR_CAS_TEMPLE08	None
9	TR_CAS_TEMPLE09	CasTrigger_Blue_10m	0	FALSE	minimap_portal.bmp	None	None	<$>64505</>	-1528	-18215	5476	TR_CAS_TEMPLE09	None
10	TR_CAS_TEMPLE10	CasTrigger_Blue_10m	0	FALSE	minimap_portal.bmp	None	None	<$>64505</>	12	-14428	6283	TR_CAS_TEMPLE10	None
11	TR_CAS_TEMPLE11	CasTrigger_Blue_10m	0	FALSE	minimap_portal.bmp	None	None	<$>64505</>	-1101	4667	5446	TR_CAS_TEMPLE11	None
12	TR_CAS_TEMPLE12	CasTrigger_Blue_10m	0	FALSE	minimap_portal.bmp	None	None	<$>64505</>	1108	4660	5446	TR_CAS_TEMPLE12	None
13	C1_CAS_CGUARD03	NPC_Luciano_R	180	FALSE	minimap_npc.bmp	<$>64517</>	None	<$>64517</>	1164	-20996	5273	C1_CAS_CGUARD03	None
14	C1_CAS_MANUEL	NPC_Manuel	270	FALSE	minimap_npc.bmp	<$>49502</>	None	<$>49502</>	0	34240	6518	C1_CAS_MANUEL	None
15	NPC_BTL_CAS02_SOL2	NPC_Luciano_S	270	FALSE	None	None	None	<$>64518</>	-395	-22679	5161	NPC_BTL_CAS02_SOL2	None
16	NPC_BTL_CAS02_SOL3	NPC_Luciano_S	270	FALSE	None	None	None	<$>64519</>	398	-22710	5161	NPC_BTL_CAS02_SOL3	None
17	NPC_BTL_CAS02_SOL4	NPC_Luciano_S	270	FALSE	None	None	None	<$>64520</>	668	-17774	5273	NPC_BTL_CAS02_SOL4	None
18	NPC_BTL_CAS02_SOL5	NPC_Luciano_S	270	FALSE	None	None	None	<$>64521</>	-611	-17803	5273	NPC_BTL_CAS02_SOL5	None
19	NPC_BTL_CAS02_SOL6	NPC_Luciano_S	0	FALSE	None	None	None	<$>64522</>	-1153	33955	6518	NPC_BTL_CAS02_SOL6	None
20	NPC_BTL_CAS02_SOL7	NPC_Luciano_S	180	FALSE	None	None	None	<$>64523</>	1161	33938	6517	NPC_BTL_CAS02_SOL7	None
