ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Possess	Script	ShopName
1	C1_KTV_COLDRESCU	npc_ktv_rescue3	168	FALSE	minimap_npc.bmp	<$>51678</>	None	<$>51678</>	26049	26625	-6678	0	C1_KTV_COLDRESCU	None
2	C1_KTV_READERRESCU	npc_ktv_rescueguy	181	FALSE	minimap_npc.bmp	<$>51679</>	None	<$>51679</>	26593	25676	-6668	0	C1_KTV_READERRESCU	None
3	KTV03_COLONY_MANAGER	COLONY_MANAGER_LARGE	321	FALSE	minimap_npc3.bmp	<$>51919</>	None	<$>51919</>	3124	24975	-7073	1	COLONY_MANAGER	None
4	KTV_ANVIL1	npc_com_anvil2	270	FALSE	None	None	None	<$>51674</>	25957	26960	-6726	0	KTV_ANVIL	None
5	KTV_ANVIL2	npc_com_anvil2	293	FALSE	None	None	None	<$>51674</>	25544	26899	-6778	0	KTV_ANVIL	None
6	KTV_ANVIL3	npc_com_anvil2	324	FALSE	None	None	None	<$>51674</>	25201	26668	-6834	0	KTV_ANVIL	None
7	KTV_FACETREE01	eltetah	321	FALSE	None	None	None	None	-12824	45384	-2518	0	KTV_FACETREE01	None
8	KTV_FACETREE02	eltetah	45	FALSE	None	None	None	None	-13148	43479	-2465	0	KTV_FACETREE02	None
9	KTV_FACETREE03	eltetah	105	FALSE	None	None	None	None	-12612	42998	-2624	0	KTV_FACETREE03	None
10	KTV_LATHE	npc_com_machine	173	FALSE	None	None	None	<$>51677</>	26406	26776	-6643	0	KTV_LATHE	None
11	KTV_LOOM	npc_com_loom	143	FALSE	None	None	None	<$>51675</>	26260	26426	-6655	0	KTV_LOOM	None
12	KTV_WOODBOX01	npc_btl_auch03_box	272	FALSE	None	None	None	None	25394	42496	-7558	0	KTV_WOODBOX01	None
13	KTV_WOODBOX02	npc_btl_auch03_box	85	FALSE	None	None	None	None	23830	42509	-7629	0	KTV_WOODBOX02	None
14	KTV_WOODDRUM	npc_btl_auch03_drum	0	FALSE	None	None	None	None	25169	42480	-7578	0	KTV_WOODDRUM	None
15	NONE_OBJECT1	npc_btl_auch03_box	272	FALSE	None	None	None	None	25535	42445	-7549	0	NONE_OBJECT	None
16	NONE_OBJECT2	npc_btl_auch03_drum	0	FALSE	None	None	None	None	23990	42397	-7635	0	NONE_OBJECT	None
17	NPC_MANUFACTURE_MATERIALS	npc_ktv_rescue3	168	FALSE	minimap_npc.bmp	<$>64549</>	None	<$>64549</>	26089	26165	-6645	0	NPC_MANUFACTURE_MATERIALS	None
19	npc_ferru_big01	npc_ferru_big	168	FALSE	minimap_mission.bmp	<$>64551</>	None	<$>64551</>	20765	1924	-7210	0	PIONEER_NOTICE	None
23	npc_ferru_big02	npc_ferru_big	152	FALSE	minimap_mission.bmp	<$>64551</>	None	<$>64551</>	-4047	41005	-3983	0	PIONEER_NOTICE	None
27	npc_ferru_big03	npc_ferru_big	175	FALSE	minimap_mission.bmp	<$>64551</>	None	<$>64551</>	19502	41739	-8605	0	PIONEER_NOTICE	None
31	npc_ktv_derek	leblanc_sct_derek	70	FALSE	minimap_npc.bmp	<$>50553</>	None	<$>50553</>	3395	15244	-8276	0	BTL_KTV_DEREK	None
50	WAYPOINT_BTL_KTV03	WAYPOINT_ONROAD	0	FALSE	minimap_waypoint.bmp	<$>51907</>	None	<$>51907</>	25053	25178	-6901	0	WAYPOINT_AUCH_BASIC	None
100	TR_SCOUT_VALLERIAVEN_04	TutorialTrigger_White_3m	0	FALSE	None	None	None	None	25608	25245	-6824	0	TR_SCOUT_VALLERIAVEN_04	None
200	TR_ORDENQUEST_24	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>190747</>	769	37405	-6815	0	TR_ORDENQUEST_24	None
500	TR_MISSION_GIRL_btl_ktv03	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>67131</>	3472	22474	-6817	0	TR_MISSION_GIRL_btl_ktv03	None
