ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Possess	Script	ShopName
1	RAID_LANDOFDEATH_START	TutorialTrigger_Black_3m	0	FALSE	None	None	<$>64570</>	-8069	-12795	5419	0	RAID_LANDOFDEATH_START	None
2	C1_LOS_MAMONS	mamons	43	FALSE	minimap_npc.bmp	<$>50447</>	<$>50447</>	-10120	-12161	5560	0	C1_LOS_MAMONS	None
3	CALYCE_PTV01	TutorialTrigger_Black_3m	276	FALSE	None	None	<$>64571</>	-310	765	5085	0	CALYCE_PTV01	None
4	PTV01_COLONY_MANAGER	COLONY_MANAGER_LARGE	320	FALSE	minimap_npc3.bmp	<$>51919</>	<$>51919</>	11722	-87711	4044	1	COLONY_MANAGER	None
5	EVENT_BTL_PTV01	NPC_FALLENROCK	0	FALSE	None	None	None	13177	-95168	3739	0	EVENT_BTL_PTV01	None
7	SB_BOX	TreasureChest_Red	300	FALSE	minimap_npc3.bmp	<$>64572</>	<$>64572</>	-208	-2507	5319	0	SB_BOX	None
8	LOS_BASIC_LANDOFDEATH	paoloviaje1	85	FALSE	minimap_npc.bmp	<$>4278</>	<$>4278</>	-8411	-12777	5310	0	LOS_BASIC_LANDOFDEATH	None
10	PTV_FRITZBARREL	ETC_Oakbarrel	134	FALSE	None	None	<$>50255</>	12040	-56167	7637	0	PTV_FRITZBARREL	None
11	PTV_FRITZHOUSE	NPC_CABINDOOR	138	FALSE	None	None	None	12359	-55990	7710	0	PTV_FRITZHOUSE	None
12	PTV_SCARECROW	ETC_DUMMY	282	FALSE	None	None	<$>2520</>	10371	-57136	7664	0	PTV_SCARECROW	None
13	npc_ferru_big01	npc_ferru_big	277	FALSE	minimap_mission.bmp	<$>64573</>	<$>64573</>	-2148	2513	5100	0	PIONEER_NOTICE	None
17	npc_ferru_big02	npc_ferru_big	300	FALSE	minimap_mission.bmp	<$>64573</>	<$>64573</>	21101	-75602	3935	0	PIONEER_NOTICE	None
21	npc_ferru_big03	npc_ferru_big	140	FALSE	minimap_mission.bmp	<$>64573</>	<$>64573</>	7941	-131404	4320	0	PIONEER_NOTICE	None
30	TR_MSG_BULON03	TutorialTrigger_Black_3m	0	FALSE	None	None	None	-5197	-8830	5589	0	TR_MSG_BULON03	None
31	TR_MSG_BULON08	TutorialTrigger_Black_3m	0	FALSE	None	None	None	12514	-52041	7380	0	TR_MSG_BULON08	None
32	TR_MSG_BULON10	TutorialTrigger_Black_3m	0	FALSE	None	None	None	9686	-55991	7446	0	TR_MSG_BULON10	None
33	TR_MSG_BULON12	TutorialTrigger_Black_3m	0	FALSE	None	None	None	24156	-102046	3669	0	TR_MSG_BULON12	None
34	TR_MSG_BULON14	TutorialTrigger_Black_3m	0	FALSE	None	None	None	-7796	-9038	5573	0	TR_MSG_BULON14	None
