ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	TR_BTL_SED01_SWORD	TutorialTrigger_Black_3m	326	FALSE	None	None	None	None	-28402	-8475	1884	TR_BTL_SED01_SWORD	None
2	SED01_ACORCHADO	REB_OLDMANa	349	FALSE	minimap_npc.bmp	<$>64600</>	None	<$>64600</>	-18204	-3373	306	SED01_ACORCHADO	None
3	TR_BTL_SED01_LEAF	TutorialTrigger_Black_3m	182	FALSE	None	None	None	None	-33282	-9887	2524	TR_BTL_SED01_LEAF	None
4	TR_BTL_SED01_FLOWER	TutorialTrigger_Black_3m	287	FALSE	None	None	None	None	-40151	12167	3141	TR_BTL_SED01_FLOWER	None
5	CASH_DUNGEN_MESSAGE	Teleportation2	97	FALSE	minimap_warpIn.bmp	<$>64601</>	INSIDE	<$>64601</>	-18950	-18223	1427	CASH_DUNGEN_MESSAGE	None
6	SED_MBOSS_GEN	TutorialTrigger_Black_1m	44	FALSE	None	None	None	None	7425	-13249	4538	SED_MBOSS_GEN	None
7	VIKIQUEST_SED	TutorialTrigger_Black	181	FALSE	None	None	None	<$>13438</>	-32488	-10120	2448	VIKIQUEST_SED	None
8	BTL_SED01_1_SELVA_ORDEN_SUB	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>188766</>	-35588	9119	2873	TR_BTL_SED01_1_SELVA_ORDEN_SUB	None
9	BTL_SED01_2_SELVA_ORDEN_SUB	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>188767</>	-22392	-10642	2065	TR_BTL_SED01_2_SELVA_ORDEN_SUB	None
10	BTL_SED01_3_SELVA_ORDEN_SUB	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>188768</>	-2594	888	394	TR_BTL_SED01_3_SELVA_ORDEN_SUB	None
