ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Possess	Script	ShopName
1	UST01_COLONY_MANAGER	COLONY_MANAGER_LARGE	321	FALSE	minimap_npc3.bmp	<$>51919</>	None	<$>51919</>	16973	-12691	-2556	1	COLONY_MANAGER	None
2	EVENT_BTL_UST01	NPC_TREESTUMP	81	FALSE	None	None	None	None	9622	-24993	-2889	0	EVENT_BTL_UST01	None
4	NPC_UST01_RAFFLESIA_IN	rafflesia_gate	102	FALSE	None	<$>64610</>	None	<$>64610</>	-11142	-3730	-3307	0	NPC_UST01_RAFFLESIA_IN	None
5	NPC_UST_FLD01	npc_ust_door	164	FALSE	minimap_warpOut.bmp	None	OUTSIDE	<$>125748</>	40508	-10419	-2037	0	NPC_UST_FLD01	None
6	NPC_UST_FLD01ROCK	NPC_FALLENROCK	32	FALSE	None	None	None	<$>695</>	35734	-10182	-2016	0	NPC_UST_FLD01ROCK	None
7	NPC_UST_FLD01TREE	NPC_TREESTUMP	197	FALSE	None	None	None	<$>51902</>	-12952	333	49	0	NPC_UST_FLD01TREE	None
8	npc_ferru_big01	npc_ferru_big	223	FALSE	minimap_mission.bmp	<$>64612</>	None	<$>64612</>	-19205	-5614	420	0	PIONEER_NOTICE	None
12	npc_ferru_big02	npc_ferru_big	69	FALSE	minimap_mission.bmp	<$>64612</>	None	<$>64612</>	22071	-8668	-2667	0	PIONEER_NOTICE	None
16	npc_blackwater01	NPC_FALLENROCK	0	FALSE	None	None	None	None	23293	-7928	-2667	0	TR_BLACKWATER	None
17	npc_blackwater02	NPC_FALLENROCK	0	FALSE	None	None	None	None	-16273	-4445	-3443	0	TR_BLACKWATER	None
18	npc_blackwater03	NPC_FALLENROCK	0	FALSE	None	None	None	None	-14228	-7733	-2339	0	TR_BLACKWATER	None
19	npc_blackwater04	NPC_FALLENROCK	0	FALSE	None	None	None	None	-24137	-10340	1096	0	TR_BLACKWATER	None
20	npc_blackwater05	NPC_FALLENROCK	0	FALSE	None	None	None	None	-17293	2622	251	0	TR_BLACKWATER	None
100	TR_ROSE_SCT_Q144504_6	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	-4344	-12885	-1722	0	TR_ROSE_SCT_Q144504_6	None
