ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
2	EVENT_BTL_UST02	NPC_TREESTUMP	83	FALSE	None	None	None	None	21543	-7133	-394	EVENT_BTL_UST02	None
4	NPC_UST_FLD02	npc_ust_door	73	FALSE	minimap_warpOut.bmp	None	OUTSIDE	<$>125749</>	1355	39803	-2429	NPC_UST_FLD02	None
5	NPC_UST_FLD02ROCK	NPC_FALLENROCK	88	FALSE	None	None	None	<$>695</>	-6878	31898	-2148	NPC_UST_FLD02ROCK	None
6	npc_ferru_big01	npc_ferru_big	162	FALSE	minimap_mission.bmp	<$>64613</>	None	<$>64613</>	5217	-22056	-1543	PIONEER_NOTICE	None
10	npc_ferru_big02	npc_ferru_big	29	FALSE	minimap_mission.bmp	<$>64613</>	None	<$>64613</>	882	4446	240	PIONEER_NOTICE	None
14	npc_ferru_big03	npc_ferru_big	241	FALSE	minimap_mission.bmp	<$>64613</>	None	<$>64613</>	7660	33587	-1777	PIONEER_NOTICE	None
18	UST_MBOSS_GEN	TutorialTrigger_Black_1m	44	FALSE	None	None	None	None	-16669	30812	-1769	UST_MBOSS_GEN	None
19	npc_blackwater06	NPC_FALLENROCK	0	FALSE	None	None	None	None	4943	34385	-2308	TR_BLACKWATER	None
20	npc_blackwater07	NPC_FALLENROCK	0	FALSE	None	None	None	None	-506	2985	-1458	TR_BLACKWATER	None
21	npc_blackwater08	NPC_FALLENROCK	0	FALSE	None	None	None	None	5322	-20709	-1533	TR_BLACKWATER	None
22	npc_blackwater09	NPC_FALLENROCK	0	FALSE	None	None	None	None	15333	11595	-260	TR_BLACKWATER	None
23	npc_blackwater10	NPC_FALLENROCK	0	FALSE	None	None	None	None	-978	26569	-1441	TR_BLACKWATER	None
