ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	tr_armmain19	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>117884</>	1118	-10615	36	TR_MAINQUEST_ARM19	None
2	tr_armmain20	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>117885</>	1953	-10605	50	TR_MAINQUEST_ARM20	None
3	tr_armmain21	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>117886</>	-10755	-11126	50	TR_MAINQUEST_ARM21	None
4	tr_armmain22	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>117887</>	44	-1351	500	TR_MAINQUEST_ARM22	None
5	tr_armmain23	TutorialTrigger_Black_3m	485	FALSE	None	None	None	<$>117888</>	1473	-10598	36	TR_SERIOUSSCOUT_01	None
6	tr_armmain34	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>125755</>	12987	-1185	38	TR_MAINQUEST_ARM34	None
7	tr_anies05	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>140278</>	5473	-1269	485	TR_ANIES01	None
8	arm_sarabless1	arm_Sarabless	0	FALSE	None	None	None	<$>144177</>	-3430	-1359	484	NPC_SARABLESS01	None
9	arm_moribless1	arm_Sarabless	0	FALSE	None	None	None	<$>144178</>	3893	-933	489	NPC_MORIBLESS01	None
10	arm_sarabless2	arm_Sarabless	0	FALSE	None	None	None	<$>144177</>	15265	4681	135	NPC_SARABLESS01	None
11	arm_moribless2	arm_Sarabless	0	FALSE	None	None	None	<$>144178</>	8623	4760	135	NPC_MORIBLESS01	None
12	tr_bryan01	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>146056</>	91	-16344	90	TR_BRYAN01	None
100	NPC_DUN_ARM01	Trigger_Black_None	0	FALSE	None	None	None	<$>117889</>	-40	-16194	90	NPC_DUN_ARM01	None
101	NPC_DUN_ARM01_RAID	Trigger_Black_None	0	FALSE	None	None	None	<$>117890</>	37	-4098	485	NPC_DUN_ARM01_RAID	None
102	ABYSS_BUFF	Trigger_Black_None	0	FALSE	None	None	None	<$>117879</>	37	-4098	485	NPC_ABYSS_BUFF_MANAGER	None
103	tr_dun_arm01_out	EntranceArrow	270	FALSE	minimap_warpIn.bmp	None	OUTSIDE	<$>125265</>	0	-32729	90	TR_DUN_ARM01_OUT	None
104	NPC_DUNARM_HOLE_MANAGER	Trigger_Black_None	0	FALSE	None	None	None	<$>129306</>	-9245	-11179	50	NPC_DUNARM_HOLE_MANAGER	None
105	NPC_DUN_ARM01_VAN	Trigger_Black_None	0	FALSE	None	None	None	<$>142107</>	-1954	-31794	60	NPC_RANDOM_ARM_VAN	None
