ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	Q_TR_DUN_CASILE03_A	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>212549</>	-18275	-35	-1021	Q_TR_DUN_CASILE03_A	None
2	Q_TR_DUN_CASILE03_B	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>212550</>	-16332	-27	-1001	Q_TR_DUN_CASILE03_B	None
3	Q_TR_DUN_CASILE03_C	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>212551</>	-7714	25	36	Q_TR_DUN_CASILE03_C	None
4	Q_TR_DUN_CASILE03_D	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>212552</>	10715	-18580	1475	Q_TR_DUN_CASILE03_D	None
5	Q_TR_DUN_CASILE03_E	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>212553</>	10681	-24662	1378	Q_TR_DUN_CASILE03_E	None
6	Q_TR_DUN_CASILE03_F_01	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>212554</>	12614	-21960	1387	Q_TR_DUN_CASILE03_F_01	None
7	Q_TR_DUN_CASILE03_F_02	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>212555</>	9432	-23631	1387	Q_TR_DUN_CASILE03_F_02	None
8	Q_TR_DUN_CASILE03_F_03	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>212556</>	11513	-15315	1438	Q_TR_DUN_CASILE03_F_03	None
9	Q_TR_DUN_CASILE03_F_04	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>212557</>	9584	-11217	1478	Q_TR_DUN_CASILE03_F_04	None
10	Q_TR_DUN_CASILE03_F_05	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>212558</>	11851	-6575	1458	Q_TR_DUN_CASILE03_F_05	None
11	Q_TR_DUN_CASILE03_F_06	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>212559</>	10163	-1322	1475	Q_TR_DUN_CASILE03_F_06	None
12	Q_TR_DUN_CASILE03_F_07	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>212560</>	9355	-733	37	Q_TR_DUN_CASILE03_F_07	None
13	Q_TR_DUN_CASILE03_F_08	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>212561</>	3738	1016	10	Q_TR_DUN_CASILE03_F_08	None
14	Q_TR_DUN_CASILE03_F_09	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>212562</>	-1682	-1022	39	Q_TR_DUN_CASILE03_F_09	None
15	Q_TR_DUN_CASILE03_F_10	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>212563</>	-5890	1117	39	Q_TR_DUN_CASILE03_F_10	None
16	SAFE_ILE_AREA_A	Trigger_Black_None	0	FALSE	None	None	None	None	-18275	-35	-1021	NPC_ILE_SAFE_AREA_MANAGER	None
17	SAFE_ILE_AREA_B	Trigger_Black_None	0	FALSE	None	None	None	None	-16332	-27	-1001	NPC_ILE_SAFE_AREA_MANAGER	None
18	SAFE_ILE_AREA_C	Trigger_Black_None	0	FALSE	None	None	None	None	-7714	25	36	NPC_ILE_SAFE_AREA_MANAGER	None
19	SAFE_ILE_AREA_D	Trigger_Black_None	0	FALSE	None	None	None	None	10715	-18580	1475	NPC_ILE_SAFE_AREA_MANAGER	None
20	SAFE_ILE_AREA_E	Trigger_Black_None	0	FALSE	None	None	None	None	10681	-24662	1378	NPC_ILE_SAFE_AREA_MANAGER	None
21	Q_TR_DUN_CASILE03_FA_01	TutorialTrigger_Black	0	FALSE	None	None	None	<$>212564</>	12614	-21960	1387	Q_TR_DUN_CASILE03_FA_01	None
22	Q_TR_DUN_CASILE03_FA_02	TutorialTrigger_Black	0	FALSE	None	None	None	<$>212565</>	9432	-23631	1387	Q_TR_DUN_CASILE03_FA_02	None
23	Q_TR_DUN_CASILE03_FA_03	TutorialTrigger_Black	0	FALSE	None	None	None	<$>212566</>	11513	-15315	1438	Q_TR_DUN_CASILE03_FA_03	None
24	Q_TR_DUN_CASILE03_FA_04	TutorialTrigger_Black	0	FALSE	None	None	None	<$>212567</>	9584	-11217	1478	Q_TR_DUN_CASILE03_FA_04	None
25	Q_TR_DUN_CASILE03_FA_05	TutorialTrigger_Black	0	FALSE	None	None	None	<$>212568</>	11851	-6575	1458	Q_TR_DUN_CASILE03_FA_05	None
26	Q_TR_DUN_CASILE03_FA_06	TutorialTrigger_Black	0	FALSE	None	None	None	<$>212569</>	10163	-1322	1475	Q_TR_DUN_CASILE03_FA_06	None
27	Q_TR_DUN_CASILE03_FA_07	TutorialTrigger_Black	0	FALSE	None	None	None	<$>212570</>	9355	-733	37	Q_TR_DUN_CASILE03_FA_07	None
28	Q_TR_DUN_CASILE03_FA_08	TutorialTrigger_Black	0	FALSE	None	None	None	<$>212571</>	3738	1016	10	Q_TR_DUN_CASILE03_FA_08	None
29	Q_TR_DUN_CASILE03_FA_09	TutorialTrigger_Black	0	FALSE	None	None	None	<$>212572</>	-1682	-1022	39	Q_TR_DUN_CASILE03_FA_09	None
30	Q_TR_DUN_CASILE03_FA_10	TutorialTrigger_Black	0	FALSE	None	None	None	<$>212573</>	-5890	1117	39	Q_TR_DUN_CASILE03_FA_10	None
100	DUN_CASILE03_BOX_NORMAL	Trigger_Black_None	0	FALSE	None	None	None	<$>212548</>	-17968	-14	-1021	DUN_CASILE03_BOX_NORMAL	None
