ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Possess	Script	ShopName
1	NPC_AUTOMARTONT_LEVER	npc_Automartont_Lever	270	FALSE	None	<$>178213</>	None	<$>179934</>	0	8400	-10	0	NPC_AUTOMARTONT_LEVER	None
2	NPC_AUTOMARTONT_POWER1	COLONY_MANAGER1	270	FALSE	None	<$>178213</>	None	<$>50411</>	4293	14266	-5	0	NPC_AUTOMARTONT_POWER	None
3	NPC_AUTOMARTONT_POWER2	COLONY_MANAGER1	270	FALSE	None	<$>178213</>	None	<$>50411</>	4288	6959	-5	0	NPC_AUTOMARTONT_POWER	None
4	NPC_AUTOMARTONT_POWER3	COLONY_MANAGER1	270	FALSE	None	<$>178213</>	None	<$>50411</>	-4351	6944	-5	0	NPC_AUTOMARTONT_POWER	None
5	NPC_AUTOMARTONT_POWER4	COLONY_MANAGER1	270	FALSE	None	<$>178213</>	None	<$>50411</>	-4468	14326	-5	0	NPC_AUTOMARTONT_POWER	None
100	tr_illiermain2_15	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	-11	-1482	0	0	TR_ILLIERMAIN2_15	None
101	tr_illiermain2_16	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	16	4401	0	0	TR_ILLIERMAIN2_16	None
102	tr_illiermain2_17	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	-26	8052	-10	0	TR_ILLIERMAIN2_17	None
103	tr_illiermain2_18	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	-2	4843	6	0	TR_ILLIERMAIN2_18	None
104	tr_illiermain2_19	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	24	9007	-20	0	TR_ILLIERMAIN2_19	None
105	tr_illiermain2_20	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	-5146	-3176	0	0	TR_ILLIERMAIN2_20	None
106	tr_illiermain2_21	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	-68	7590	-10	0	TR_ILLIERMAIN2_21	None
200	M_VERNIER_DRDOOR	EntranceArrow_01	90	FALSE	minimap_warpIn.bmp	<$>179935</>	INSIDE	<$>179935</>	4108	15465	-5	0	M_VERNIER_DRDOOR	None
201	M_VERNIER_DRDOOR2	EntranceArrow_01	270	FALSE	minimap_warpIn.bmp	<$>179936</>	INSIDE	<$>179936</>	-6455	-4113	0	0	M_VERNIER_DRDOOR2	None
300	NPC_RAID_RESPAWN_MANAGER	Trigger_Black_None	0	FALSE	None	None	None	<$>117890</>	26	13207	-10	0	NPC_RAID_RESPAWN_MANAGER	None
