ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Script	ShopName
1	EVENT_DUNJAQ03_BOX13	npc_dun_jaq01_table02	168	FALSE	None	None	<$>64680</>	551	21318	1700	EVENT_DUNJAQ03_BOX	None
2	EVENT_DUNJAQ03_BOX14	npc_dun_jaq01_table02	348	FALSE	None	None	<$>64680</>	450	17683	1700	EVENT_DUNJAQ03_BOX	None
3	EVENT_DUNJAQ03_BOX12	npc_dun_jaq01_table02	335	FALSE	None	None	<$>64680</>	-3892	21324	1700	EVENT_DUNJAQ03_BOX	None
4	EVENT_DUNJAQ03_BOX20	npc_dun_jaq01_table02	233	FALSE	None	None	<$>64680</>	22813	-17623	200	EVENT_DUNJAQ03_BOX	None
5	EVENT_DUNJAQ03_BOX11	npc_dun_jaq01_table02	0	FALSE	None	None	<$>64680</>	-4188	17943	1700	EVENT_DUNJAQ03_BOX	None
6	EVENT_DUNJAQ03_BOX21	npc_dun_jaq01_table02	83	FALSE	None	None	<$>64680</>	22807	-20072	200	EVENT_DUNJAQ03_BOX	None
7	EVENT_DUNJAQ03_BOX19	npc_dun_jaq01_table02	0	FALSE	None	None	<$>64680</>	31395	-9449	599	EVENT_DUNJAQ03_BOX	None
8	EVENT_DUNJAQ03_BOX10	npc_dun_jaq01_table02	0	FALSE	None	None	<$>64680</>	-4469	24307	1700	EVENT_DUNJAQ03_BOX	None
9	EVENT_DUNJAQ03_BOX9	npc_dun_jaq01_table02	59	FALSE	None	None	<$>64680</>	-16137	20686	2100	EVENT_DUNJAQ03_BOX	None
10	EVENT_DUNJAQ03_BOX18	npc_dun_jaq01_table02	178	FALSE	None	None	<$>64680</>	30563	5291	900	EVENT_DUNJAQ03_BOX	None
11	EVENT_DUNJAQ03_BOX22	npc_dun_jaq01_table02	295	FALSE	None	None	<$>64680</>	10444	-14335	600	EVENT_DUNJAQ03_BOX	None
12	EVENT_DUNJAQ03_BOX8	npc_dun_jaq01_table02	0	FALSE	None	None	<$>64680</>	-23519	20693	2300	EVENT_DUNJAQ03_BOX	None
13	EVENT_DUNJAQ03_BOX15	npc_dun_jaq01_table02	0	FALSE	None	None	<$>64680</>	8198	15783	1500	EVENT_DUNJAQ03_BOX	None
14	EVENT_DUNJAQ03_BOX7	npc_dun_jaq01_table02	0	FALSE	None	None	<$>64680</>	-29788	24067	2500	EVENT_DUNJAQ03_BOX	None
15	EVENT_DUNJAQ03_BOX6	npc_dun_jaq01_table02	0	FALSE	None	None	<$>64680</>	-27258	21295	2500	EVENT_DUNJAQ03_BOX	None
16	EVENT_DUNJAQ03_BOX5	npc_dun_jaq01_table02	0	FALSE	None	None	<$>64680</>	-31739	21312	2500	EVENT_DUNJAQ03_BOX	None
17	EVENT_DUNJAQ03_BOX16	npc_dun_jaq01_table02	0	FALSE	None	None	<$>64680</>	14551	18322	1500	EVENT_DUNJAQ03_BOX	None
18	EVENT_DUNJAQ03_BOX4	npc_dun_jaq01_table02	164	FALSE	None	None	<$>64680</>	-29192	9942	2700	EVENT_DUNJAQ03_BOX	None
19	EVENT_DUNJAQ03_BOX17	npc_dun_jaq01_table02	0	FALSE	None	None	<$>64680</>	22567	13306	1300	EVENT_DUNJAQ03_BOX	None
20	EVENT_DUNJAQ03_BOX3	npc_dun_jaq01_table02	253	FALSE	None	None	<$>64680</>	-32812	10060	2700	EVENT_DUNJAQ03_BOX	None
21	EVENT_DUNJAQ03_BOX23	npc_dun_jaq01_table02	270	FALSE	None	None	<$>64680</>	10179	5068	900	EVENT_DUNJAQ03_BOX	None
22	EVENT_DUNJAQ03_BOX2	npc_dun_jaq01_table02	0	FALSE	None	None	<$>64680</>	-33119	6703	2700	EVENT_DUNJAQ03_BOX	None
23	EVENT_DUNJAQ03_BOX1	npc_dun_jaq01_table02	0	FALSE	None	None	<$>64680</>	-34281	5845	2700	EVENT_DUNJAQ03_BOX	None
56	EVENT_JAQ_TABLE1	npc_dun_jaq01_table01	0	FALSE	None	None	None	-28903	17779	2500	EVENT_JAQ_TABLE1	None
57	EVENT_JAQ_TABLE10	npc_dun_jaq01_table01	270	FALSE	None	None	None	32513	-6008	579	EVENT_JAQ_TABLE10	None
58	EVENT_JAQ_TABLE11	npc_dun_jaq01_table01	272	FALSE	None	None	None	35089	-6017	580	EVENT_JAQ_TABLE11	None
59	EVENT_JAQ_TABLE12	npc_dun_jaq01_table01	270	FALSE	None	None	None	28504	-5999	580	EVENT_JAQ_TABLE12	None
60	EVENT_JAQ_TABLE13	npc_dun_jaq01_table01	81	FALSE	None	None	None	16678	-13757	400	EVENT_JAQ_TABLE13	None
61	EVENT_JAQ_TABLE14	npc_dun_jaq01_table01	271	FALSE	None	None	None	12489	-6019	579	EVENT_JAQ_TABLE14	None
62	EVENT_JAQ_TABLE15	npc_dun_jaq01_table01	272	FALSE	None	None	None	15088	-6010	580	EVENT_JAQ_TABLE15	None
63	EVENT_JAQ_TABLE16	npc_dun_jaq01_table01	270	FALSE	None	None	None	8487	-5946	580	EVENT_JAQ_TABLE16	None
64	EVENT_JAQ_TABLE2	npc_dun_jaq01_table01	0	FALSE	None	None	None	-28904	21182	2500	EVENT_JAQ_TABLE2	None
65	EVENT_JAQ_TABLE3	npc_dun_jaq01_table01	177	FALSE	None	None	None	-30087	21205	2500	EVENT_JAQ_TABLE3	None
66	EVENT_JAQ_TABLE4	npc_dun_jaq01_table01	270	FALSE	None	None	None	-23406	24254	2300	EVENT_JAQ_TABLE4	None
67	EVENT_JAQ_TABLE5	npc_dun_jaq01_table01	169	FALSE	None	None	None	-15777	24109	2100	EVENT_JAQ_TABLE5	None
68	EVENT_JAQ_TABLE6	npc_dun_jaq01_table01	271	FALSE	None	None	None	8307	17410	1500	EVENT_JAQ_TABLE6	None
69	EVENT_JAQ_TABLE7	npc_dun_jaq01_table01	87	FALSE	None	None	None	8340	18606	1500	EVENT_JAQ_TABLE7	None
70	EVENT_JAQ_TABLE8	npc_dun_jaq01_table01	272	FALSE	None	None	None	11762	18584	1500	EVENT_JAQ_TABLE8	None
71	EVENT_JAQ_TABLE9	npc_dun_jaq01_table01	85	FALSE	None	None	None	14380	12727	1500	EVENT_JAQ_TABLE9	None
72	JAQ_BFORGE04	npc_dun_jaq01_forge01	23	FALSE	None	None	<$>64678</>	25305	672	880	JAQ_BFORGE04	None
73	JAQ_BFORGE05	npc_dun_jaq01_forge01	0	FALSE	None	None	<$>64678</>	5304	416	880	JAQ_BFORGE05	None
74	JAQ_GURT_BFORGE04	npc_dun_jaq01_forge01	358	FALSE	None	None	<$>64678</>	-33821	-1324	2899	JAQ_GURT_BFORGE04	None
75	JAQ_GURT_MFORGE04	npc_dun_jaq01_forge03	0	FALSE	None	None	<$>64678</>	-37770	8242	2699	JAQ_GURT_MFORGE04	None
76	JAQ_MFORGE06	npc_dun_jaq01_forge03	0	FALSE	None	None	<$>64678</>	2865	-7047	600	JAQ_MFORGE06	None
77	None93	npc_dun_jaq01_forge02	271	FALSE	None	None	None	13403	5270	900	NONE	None
78	None6	npc_dun_jaq01_forge02	0	FALSE	None	None	None	-32227	7718	2700	NONE	None
79	None52	npc_dun_jaq01_forge02	356	FALSE	None	None	None	20380	13263	1300	NONE	None
80	None10	npc_dun_jaq01_forge02	171	FALSE	None	None	None	-29247	9739	2700	NONE	None
81	None87	npc_dun_jaq01_forge02	0	FALSE	None	None	None	13977	575	879	NONE	None
82	None86	npc_dun_jaq01_guillotine01	358	FALSE	None	None	None	15118	-5504	580	NONE	None
83	None25	npc_dun_jaq01_forge02	0	FALSE	None	None	None	-15230	21718	2100	NONE	None
84	None23	npc_dun_jaq01_forge02	0	FALSE	None	None	None	-20598	21274	2300	NONE	None
85	None27	npc_dun_jaq01_forge02	0	FALSE	None	None	None	-6593	24274	1700	NONE	None
86	None81	npc_dun_jaq01_forge02	0	FALSE	None	None	None	10258	-14232	600	NONE	None
87	None57	npc_dun_jaq01_forge02	186	FALSE	None	None	None	23210	4710	1100	NONE	None
88	None69	npc_dun_jaq01_guillotine01	358	FALSE	None	None	None	25923	-5529	580	NONE	None
89	None49	npc_dun_jaq01_forge02	0	FALSE	None	None	None	14765	18256	1500	NONE	None
90	None30	npc_dun_jaq01_forge02	0	FALSE	None	None	None	-15544	17692	2100	NONE	None
91	None71	npc_dun_jaq01_forge02	0	FALSE	None	None	None	25374	-16730	200	NONE	None
92	None66	npc_dun_jaq01_guillotine01	1	FALSE	None	None	None	35103	-5498	580	NONE	None
93	None32	npc_dun_jaq01_forge02	0	FALSE	None	None	None	-6580	18277	1700	NONE	None
94	None85	npc_dun_jaq01_guillotine01	358	FALSE	None	None	None	5899	-5487	580	NONE	None
95	npc_ferru_big01	npc_ferru_big	265	FALSE	minimap_mission.bmp	<$>64681</>	<$>64681</>	15481	-21757	0	PIONEER_NOTICE	None
99	npc_ferru_big02	npc_ferru_big	175	FALSE	minimap_mission.bmp	<$>64681</>	<$>64681</>	12715	17042	1500	PIONEER_NOTICE	None
103	npc_ferru_big03	npc_ferru_big	264	FALSE	minimap_mission.bmp	<$>64681</>	<$>64681</>	-31558	2135	2900	PIONEER_NOTICE	None
107	TR_JAQ_GRACESUB	TutorialTrigger_Black_3m	0	FALSE	minimap_npc.bmp	None	<$>64548</>	-36081	6973	2800	TR_JAQ_GRACESUB	None
