ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
7	EVENT_JAQ_TABLE1	npc_dun_jaq01_table01	272	FALSE	None	None	None	None	22113	-1855	219	EVENT_JAQ_TABLE1	None
8	EVENT_JAQ_TABLE2	npc_dun_jaq01_table01	86	FALSE	None	None	None	None	22115	323	219	EVENT_JAQ_TABLE2	None
9	EVENT_JAQ_TABLE4	npc_dun_jaq01_table01	272	FALSE	None	None	None	None	17611	-1158	219	EVENT_JAQ_TABLE4	None
10	EVENT_JAQ_TABLE5	npc_dun_jaq01_table01	0	FALSE	None	None	None	None	-18715	-10271	19	EVENT_JAQ_TABLE5	None
11	EVENT_JAQ_TABLE6	npc_dun_jaq01_table01	0	FALSE	None	None	None	None	-21522	-3399	20	EVENT_JAQ_TABLE6	None
13	JAQ_BFORGE03	npc_dun_jaq01_forge01	0	FALSE	None	None	None	<$>64678</>	16085	-8832	0	JAQ_BFORGE03	None
14	JAQ_GURT_BFORGE03	npc_dun_jaq01_forge01	6	FALSE	None	None	None	<$>64678</>	-20833	-15659	0	JAQ_GURT_BFORGE03	None
15	JAQ_GURT_MFORGE03	npc_dun_jaq01_forge03	0	FALSE	None	None	None	<$>64678</>	23703	7197	0	JAQ_GURT_MFORGE03	None
16	JAQ_MFORGE05	npc_dun_jaq01_forge03	165	FALSE	None	None	None	<$>64678</>	-21733	1916	0	JAQ_MFORGE05	None
17	JAQ_UNDER_GATE_OPEN	structure_potaice	45	FALSE	minimap_warpIn.bmp	<$>95691</>	INSIDE	<$>95691</>	-16520	13808	-99	JAQ_UNDER_GATE_OPEN	None
19	EVENT_JAQ_TABLE3	npc_dun_jaq01_table01	270	FALSE	None	None	None	None	22109	-371	219	NONE	None
20	None6	npc_dun_jaq01_guillotine01	86	FALSE	None	None	None	None	23667	-8768	0	NONE	None
21	None9	npc_dun_jaq01_guillotine01	270	FALSE	None	None	None	None	21486	156	199	NONE	None
22	None10	npc_dun_jaq01_guillotine01	92	FALSE	None	None	None	None	18247	-1668	199	NONE	None
23	None18	npc_dun_jaq01_guillotine01	0	FALSE	None	None	None	None	23	15100	-400	NONE	None
24	None19	npc_dun_jaq01_guillotine01	0	FALSE	None	None	None	None	-119	21416	-400	NONE	None
25	None27	npc_dun_jaq01_forge02	181	FALSE	None	None	None	None	-23489	-13578	19	NONE	None
26	None31	npc_dun_jaq01_forge02	0	FALSE	None	None	None	None	-15370	-3582	0	NONE	None
27	ferru_big01	npc_ferru_big	95	FALSE	minimap_mission.bmp	<$>64682</>	None	<$>64682</>	20686	-24378	0	PIONEER_NOTICE	None
31	npc_ferru_big02	npc_ferru_big	266	FALSE	minimap_mission.bmp	<$>64682</>	None	<$>64682</>	10601	19323	0	PIONEER_NOTICE	None
35	npc_ferru_big03	npc_ferru_big	180	FALSE	minimap_mission.bmp	<$>64682</>	None	<$>64682</>	-19384	-14930	0	PIONEER_NOTICE	None
100	C1_AUCH_VALLERIA_Ven	npc_vendetta	243	FALSE	minimap_npc.bmp	<$>96435</>	None	<$>96435</>	-17415	13023	-99	C1_AUCH_VALLERIAVEN	None
