ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Script	ShopName
1	EVENT_DUNJAQC01_BERNAL	npc_dun_jaq_c01_henge	123	FALSE	None	None	<$>64685</>	-1	690	400	EVENT_DUNJAQC01_BERNAL	None
3	JAQ_BFORGE02	npc_dun_jaq01_forge01	36	FALSE	None	None	<$>64678</>	-14026	19937	1	JAQ_BFORGE02	None
4	JAQ_GURT_BFORGE02	npc_dun_jaq01_forge01	213	FALSE	None	None	<$>64678</>	16272	-21749	0	JAQ_GURT_BFORGE02	None
5	None6	npc_dun_jaq01_forge02	216	FALSE	None	None	None	-9950	16255	38	NONE	None
6	None7	npc_dun_jaq01_forge02	34	FALSE	None	None	None	-8923	12078	38	NONE	None
7	None8	npc_dun_jaq01_forge02	214	FALSE	None	None	None	-5371	9712	38	NONE	None
8	None9	npc_dun_jaq01_forge02	216	FALSE	None	None	None	-3075	6457	38	NONE	None
9	None10	npc_dun_jaq01_forge02	32	FALSE	None	None	None	3446	-5610	38	NONE	None
10	None11	npc_dun_jaq01_forge02	215	FALSE	None	None	None	7012	-7968	38	NONE	None
11	None12	npc_dun_jaq01_forge02	217	FALSE	None	None	None	11621	-14534	38	NONE	None
12	None13	npc_dun_jaq01_forge02	36	FALSE	None	None	None	10344	-15426	38	NONE	None
13	None14	npc_dun_jaq01_forge02	215	FALSE	None	None	None	13893	-17797	38	NONE	None
14	npc_ferru_big01	npc_ferru_big	37	FALSE	minimap_mission.bmp	<$>64686</>	<$>64686</>	15008	-21967	0	PIONEER_NOTICE	None
18	npc_ferru_big02	npc_ferru_big	36	FALSE	minimap_mission.bmp	<$>64686</>	<$>64686</>	-542	3881	19	PIONEER_NOTICE	None
22	npc_ferru_big03	npc_ferru_big	222	FALSE	minimap_mission.bmp	<$>64686</>	<$>64686</>	-12829	20203	1	PIONEER_NOTICE	None
