ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	DUN_SECRET_HALLWAY_EXIT	npc_ferru_big	356	FALSE	minimap_warpOut.bmp	<$>63933</>	OUTSIDE	<$>63933</>	20589	12	0	DUN_SECRET_HALLWAY_EXIT	None
2	DUN_SECRET_HALLWAY_BOX_01	npc_treasurechest04	0	FALSE	None	None	None	None	23327	-1326	-198	DUN_SECRET_HALLWAY_BOX_01	None
3	DUN_SECRET_HALLWAY_BOX_02	npc_treasurechest04	0	FALSE	None	None	None	None	26354	-1338	-136	DUN_SECRET_HALLWAY_BOX_02	None
4	DUN_SECRET_HALLWAY_BOX_03	npc_treasurechest04	0	FALSE	None	None	None	None	24358	1344	-198	DUN_SECRET_HALLWAY_BOX_03	None
5	DUN_SECRET_HALLWAY_BOX_04	npc_treasurechest04	0	FALSE	None	None	None	None	20670	1070	-193	DUN_SECRET_HALLWAY_BOX_04	None
6	DUN_SECRET_HALLWAY_BOX_05	npc_treasurechest04	263	FALSE	None	None	None	None	21035	-674	-200	DUN_SECRET_HALLWAY_BOX_05	None
7	DUN_SECRET_HALLWAY_BOX_06	npc_treasurechest04	0	FALSE	None	None	None	None	20886	268	0	DUN_SECRET_HALLWAY_BOX_06	None
8	DUN_SECRET_HALLWAY_BOX_07	npc_treasurechest04	0	FALSE	None	None	None	None	23641	-1308	-198	DUN_SECRET_HALLWAY_BOX_07	None
9	DUN_SECRET_HALLWAY_BOX_08	npc_treasurechest04	0	FALSE	None	None	None	None	23089	1090	-198	DUN_SECRET_HALLWAY_BOX_08	None
10	DUN_SECRET_HALLWAY_BOX_09	npc_treasurechest04	0	FALSE	None	None	None	None	23396	1104	-198	DUN_SECRET_HALLWAY_BOX_09	None
11	DUN_SECRET_HALLWAY_BOX_10	npc_treasurechest04	181	FALSE	None	None	None	None	23015	-1335	-198	DUN_SECRET_HALLWAY_BOX_10	None
