ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	DUNTBK02_DIARYBOX01	npc_dun_jaq01_box01	0	FALSE	None	None	None	<$>64715</>	-17145	-4758	2017	DUNTBK02_DIARYBOX01	None
2	DUNTBK02_DIARYBOX02	npc_dun_jaq01_box01	0	FALSE	None	None	None	<$>64715</>	4970	-6601	-882	DUNTBK02_DIARYBOX02	None
3	DUNTBK02_DIARYBOX03	npc_dun_jaq01_box01	0	FALSE	None	None	None	<$>64715</>	18303	13904	-591	DUNTBK02_DIARYBOX03	None
4	DUNTBK02_DIARYBOX04	npc_dun_jaq01_box01	0	FALSE	None	None	None	<$>64715</>	-6369	343	818	DUNTBK02_DIARYBOX04	None
5	DUNTBK02_DIARYBOX05	npc_dun_jaq01_box01	0	FALSE	None	None	None	<$>64715</>	22014	-5867	-3099	DUNTBK02_DIARYBOX05	None
6	DUNTBK02_DIARYBOX06	npc_dun_jaq01_box01	0	FALSE	None	None	None	<$>64715</>	-605	-1855	-847	DUNTBK02_DIARYBOX06	None
7	DUNTBK02_DIARYBOX07	npc_dun_jaq01_box01	0	FALSE	None	None	None	<$>64715</>	2020	-24343	-647	DUNTBK02_DIARYBOX07	None
8	DUNTBK02_DIARYBOX08	npc_dun_jaq01_box01	0	FALSE	None	None	None	<$>64715</>	1422	-5935	-399	DUNTBK02_DIARYBOX08	None
9	DUNTBK02_DIARYBOX09	npc_dun_jaq01_box01	0	FALSE	None	None	None	<$>64715</>	25131	-23090	-4062	DUNTBK02_DIARYBOX09	None
10	DUNTBK02_DIARYBOX10	npc_dun_jaq01_box01	0	FALSE	None	None	None	<$>64715</>	9987	4702	-772	DUNTBK02_DIARYBOX10	None
15	TBK01_ELECTRICORE01	NPC_TOURMALINEORE	0	FALSE	None	None	None	<$>51883</>	-42286	-2907	5681	TBK01_ELECTRICORE	None
16	TBK01_ELECTRICORE02	NPC_TOURMALINEORE	0	FALSE	None	None	None	<$>51883</>	3388	-19147	-705	TBK01_ELECTRICORE	None
17	TBK01_ELECTRICORE03	NPC_TOURMALINEORE	0	FALSE	None	None	None	<$>51883</>	1270	6849	303	TBK01_ELECTRICORE	None
18	TBK01_ELECTRICORE04	NPC_TOURMALINEORE	0	FALSE	None	None	None	<$>51883</>	-9751	15458	131	TBK01_ELECTRICORE	None
19	TBK01_ELECTRICORE05	NPC_TOURMALINEORE	0	FALSE	None	None	None	<$>51883</>	-9708	4570	818	TBK01_ELECTRICORE	None
24	TBK1_PACK01	NPC_CAPYBAG_OPEN_01	0	FALSE	minimap_npc3.bmp	None	None	<$>7559</>	-7552	-3933	1306	TBK_PACK01	None
25	TBK2_PACK01	NPC_CAPYBAG_OPEN_01	0	FALSE	minimap_npc3.bmp	None	None	<$>7559</>	558	-7936	-466	TBK_PACK01	None
26	TBK3_PACK01	NPC_CAPYBAG_OPEN_01	0	FALSE	minimap_npc3.bmp	None	None	<$>7559</>	-1419	-17004	-318	TBK_PACK01	None
27	TBK4_PACK01	NPC_CAPYBAG_OPEN_01	0	FALSE	minimap_npc3.bmp	None	None	<$>7559</>	11635	9503	-406	TBK_PACK01	None
28	TBK_TREASURE_MINEBOX01	npc_dun_jaq01_table02	33	FALSE	None	None	None	<$>64716</>	-972	-23192	-620	TBK_TREASURE_MINEBOX	None
29	TBK_TREASURE_MINEBOX02	npc_dun_jaq01_table02	16	FALSE	None	None	None	<$>64716</>	-20471	-2670	1207	TBK_TREASURE_MINEBOX	None
30	TBK_TREASURE_MINEBOX03	npc_dun_jaq01_table02	165	FALSE	None	None	None	<$>64716</>	-14633	14188	339	TBK_TREASURE_MINEBOX	None
31	TBK_TREASURE_MINEBOX04	npc_dun_jaq01_table02	0	FALSE	None	None	None	<$>64716</>	-22449	-11309	5932	TBK_TREASURE_MINEBOX	None
32	TBK_TREASURE_MINEBOX05	npc_dun_jaq01_table02	329	FALSE	None	None	None	<$>64716</>	15463	14297	-791	TBK_TREASURE_MINEBOX	None
33	npc_ferru_big01	npc_ferru_big	217	FALSE	minimap_mission.bmp	<$>64717</>	None	<$>64717</>	-37347	-3493	5681	PIONEER_NOTICE	None
37	npc_ferru_big02	npc_ferru_big	228	FALSE	minimap_mission.bmp	<$>64717</>	None	<$>64717</>	13254	-3450	-1619	PIONEER_NOTICE	None
100	TR_ORDENQUEST_19	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>188774</>	25017	-21559	-4024	TR_ORDENQUEST_19	None
101	TR_ORDENQUEST_20	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>188775</>	24236	-21935	-4077	TR_ORDENQUEST_20	None
102	TR_ORDENQUEST_21	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>188776</>	13010	-3729	-1619	TR_ORDENQUEST_21	None
103	TR_ORDENQUEST_22	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>188764</>	24917	-22236	-4024	TR_ORDENQUEST_22	None
