ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Script	ShopName
4	FLD_COIM_TUTO_SOL1	COIM_SOLM2	270	FALSE	None	None	<$>64441</>	-17876	1782	844	FLD_COIM_TUTO_SOL	None
5	FLD_COIM_TUTO_SOL2	COIM_SOLM2	270	FALSE	None	None	<$>64441</>	-16808	1782	814	FLD_COIM_TUTO_SOL	None
6	FLD_COIM_TUTO_SOL3	COIM_SOLM2	270	FALSE	None	None	<$>64441</>	-17861	7430	806	FLD_COIM_TUTO_SOL	None
7	FLD_COIM_TUTO_SOL4	COIM_SOLM2	270	FALSE	None	None	<$>64441</>	-16778	7430	806	FLD_COIM_TUTO_SOL	None
8	COIM_NGATE5	COIM_SOLM3	0	FALSE	None	None	None	-17795	11191	781	NONE	None
9	COIM_NGATE6	COIM_SOLM3	180	FALSE	None	None	None	-16859	11191	781	NONE	None
10	COIM_NGATE7	COIM_SOLM3	180	FALSE	None	None	None	-16859	11454	847	NONE	None
11	COIM_NGATE8	COIM_SOLM3	0	FALSE	None	None	None	-17795	11454	847	NONE	None
12	COIM_NGATE9	COIM_SOLM3	0	FALSE	None	None	None	-17795	11658	922	NONE	None
13	COIM_NGATE10	COIM_SOLM3	180	FALSE	None	None	None	-16859	11658	922	NONE	None
14	COIM_NGATE11	COIM_SOLM3	180	FALSE	None	None	None	-16859	11860	995	NONE	None
15	COIM_NGATE12	COIM_SOLM3	0	FALSE	None	None	None	-17795	11860	995	NONE	None
16	COIM_NGATE13	COIM_SOLM3	0	FALSE	None	None	None	-17795	12051	1070	NONE	None
17	COIM_NGATE14	COIM_SOLM3	180	FALSE	None	None	None	-16859	12051	1070	NONE	None
18	COIM_NGATE15	COIM_SOLM3	0	FALSE	None	None	None	-17795	12253	1142	NONE	None
19	COIM_NGATE16	COIM_SOLM3	180	FALSE	None	None	None	-16859	12253	1142	NONE	None
20	COIM_NGATE17	COIM_SOLM3	0	FALSE	None	None	None	-17795	12473	1226	NONE	None
21	COIM_NGATE18	COIM_SOLM3	180	FALSE	None	None	None	-16859	12473	1226	NONE	None
22	COIM_NGATE19	COIM_SOLM3	0	FALSE	None	None	None	-17795	12672	1308	NONE	None
23	COIM_NGATE20	COIM_SOLM3	180	FALSE	None	None	None	-16859	12672	1308	NONE	None
24	COIM_NGATE21	COIM_SOLM3	0	FALSE	None	None	None	-17795	13010	1373	NONE	None
25	COIM_NGATE22	COIM_SOLM3	180	FALSE	None	None	None	-16859	13010	1373	NONE	None
26	COIM_NGATE23	COIM_SOLM3	0	FALSE	None	None	None	-17795	13264	1373	NONE	None
27	COIM_NGATE24	COIM_SOLM3	180	FALSE	None	None	None	-16859	13264	1373	NONE	None
28	COIM_NGATE25	COIM_SOLM3	0	FALSE	None	None	None	-17795	13492	1373	NONE	None
29	COIM_NGATE26	COIM_SOLM3	180	FALSE	None	None	None	-16859	13492	1373	NONE	None
30	FLD_COIM_TUTO_NUNEZ	COM_NUNEZ	270	FALSE	minimap_npc.bmp	None	<$>51616</>	-17317	13660	1373	FLD_COIM_TUTO_NUNEZ	None
31	TR_FLD_COIM_TUTO_A	TutorialTrigger_Gray_3m	0	FALSE	None	None	None	-17676	7386	806	TR_FLD_COIM_TUTO	None
32	TR_FLD_COIM_TUTO_B	TutorialArrow_01	90	FALSE	None	None	None	-17316	7386	783	TR_FLD_COIM_TUTO	None
33	TR_FLD_COIM_TUTO_C	TutorialTrigger_Gray_3m	0	FALSE	None	None	None	-16960	7386	806	TR_FLD_COIM_TUTO	None
34	TR_FLD_COIM_TUTO_D	TutorialArrow_01	90	FALSE	None	None	None	-17847	-747	851	TR_FLD_COIM_TUTO_D	None
35	TR_FLD_COIM_TUTO_E	TutorialArrow_01	90	FALSE	None	None	None	-17344	2259	790	TR_FLD_COIM_TUTO_E	None
36	TR_FLD_COIM_TUTO_F	TutorialArrow_01	90	FALSE	None	None	None	-17321	5408	803	TR_FLD_COIM_TUTO_F	None
37	TR_FLD_COIM_TUTO_G	TutorialArrow_01	90	FALSE	None	None	None	-17321	-3257	829	TR_FLD_COIM_TUTO_G	None
