ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	10th_flag01	10th_flag	270	FALSE	minimap_npc.bmp	None	None	None	-813	8545	2028	TOUMEINPC	None
2	10th_flag02	10th_flag	270	FALSE	minimap_npc.bmp	None	None	None	833	8586	2028	TOUMEINPC	None
3	10th_flag03	10th_flag	271	FALSE	minimap_npc.bmp	None	None	None	544	6685	1903	TOUMEINPC	None
4	10th_flag04	10th_flag	274	FALSE	minimap_npc.bmp	None	None	None	-585	6654	1905	TOUMEINPC	None
5	10th_flag05	10th_flag	270	FALSE	minimap_npc.bmp	None	None	None	-543	5731	1842	TOUMEINPC	None
6	10th_flag06	10th_flag	270	FALSE	minimap_npc.bmp	None	None	None	570	5777	1848	TOUMEINPC	None
7	10th_flag07	10th_flag	267	FALSE	minimap_npc.bmp	None	None	None	571	4887	1795	TOUMEINPC	None
8	10th_flag08	10th_flag	263	FALSE	minimap_npc.bmp	None	None	None	-563	4861	1792	TOUMEINPC	None
9	10th_flag09	10th_flag	88	FALSE	minimap_npc.bmp	None	None	None	793	901	1598	TOUMEINPC	None
10	10th_flag10	10th_flag	82	FALSE	minimap_npc.bmp	None	None	None	-755	802	1617	TOUMEINPC	None
11	10th_flag11	10th_flag	267	FALSE	minimap_npc.bmp	None	None	None	-816	-1160	1490	TOUMEINPC	None
12	10th_flag12	10th_flag	270	FALSE	minimap_npc.bmp	None	None	None	850	-1156	1505	TOUMEINPC	None
13	10th_flag13	10th_flag	4	FALSE	minimap_npc.bmp	None	None	None	-1487	-3029	1452	TOUMEINPC	None
14	10th_flag14	10th_flag	357	FALSE	minimap_npc.bmp	None	None	None	-1567	-3776	1442	TOUMEINPC	None
15	10th_flag15	10th_flag	358	FALSE	minimap_npc.bmp	None	None	None	-1287	-4443	1453	TOUMEINPC	None
16	10th_flag16	10th_flag	167	FALSE	minimap_npc.bmp	None	None	None	1496	-3156	1456	TOUMEINPC	None
17	10th_flag17	10th_flag	152	FALSE	minimap_npc.bmp	None	None	None	1410	-4124	1453	TOUMEINPC	None
18	10th_flag18	10th_flag	150	FALSE	minimap_npc.bmp	None	None	None	793	-4828	1452	TOUMEINPC	None
19	10th_cake01	10th_cake	356	FALSE	minimap_npc.bmp	None	None	None	1487	6486	1950	TOUMEINPC	None
20	10th_cake02	10th_cake	287	FALSE	minimap_npc.bmp	None	None	None	-1514	6550	1930	TOUMEINPC	None
21	10th_cake03	10th_cake	91	FALSE	minimap_npc.bmp	None	None	None	27	-2764	1451	TOUMEINPC	None
22	10th_cake04	10th_cake	205	FALSE	minimap_npc.bmp	None	None	None	1910	-1997	1533	TOUMEINPC	None
23	10th_cake05	10th_cake	354	FALSE	minimap_npc.bmp	None	None	None	-1751	-2266	1474	TOUMEINPC	None
24	10th_cake06	10th_cake	267	FALSE	minimap_npc.bmp	None	None	None	-9	9531	2502	TOUMEINPC	None
25	10th_tree01	10th_tree	61	FALSE	minimap_npc.bmp	None	None	None	-386	-4969	1437	TOUMEINPC	None
26	10th_tree02	10th_tree	312	FALSE	minimap_npc.bmp	None	None	None	-3220	8570	1945	TOUMEINPC	None
27	10th_tree03	10th_tree	188	FALSE	minimap_npc.bmp	None	None	None	2390	7418	2061	TOUMEINPC	None
