ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Script	ShopName
1	None1	DOTTED_LINE	175	FALSE	None	None	None	-6997	5356	324	NONE	None
2	None2	DOTTED_LINE	175	FALSE	None	None	None	-7020	4863	325	NONE	None
3	None3	DOTTED_LINE	233	FALSE	None	None	None	-6817	4461	344	NONE	None
4	None4	DOTTED_LINE	205	FALSE	None	None	None	-6532	4143	335	NONE	None
5	None5	DOTTED_LINE	174	FALSE	None	None	None	-6503	3713	326	NONE	None
6	None6	DOTTED_LINE	352	FALSE	None	None	None	-6574	3298	326	NONE	None
7	None7	DOTTED_LINE	102	FALSE	None	None	None	-6867	2976	326	NONE	None
8	None8	DOTTED_LINE	285	FALSE	None	None	None	-7359	2814	327	NONE	None
9	None9	DOTTED_LINE	106	FALSE	None	None	None	-7824	2693	324	NONE	None
10	None10	DOTTED_LINE	36	FALSE	None	None	None	-8283	2690	318	NONE	None
11	None11	DOTTED_LINE	33	FALSE	None	None	None	-8524	3002	317	NONE	None
12	None12	DOTTED_LINE	63	FALSE	None	None	None	-8803	3397	384	NONE	None
13	None13	DOTTED_LINE	79	FALSE	None	None	None	-9164	3497	387	NONE	None
14	None14	DOTTED_LINE	12	FALSE	None	None	None	-9442	3780	387	NONE	None
15	None15	DOTTED_LINE	293	FALSE	None	None	None	-9377	4057	387	NONE	None
16	None16	DOTTED_LINE	151	FALSE	None	None	None	-9063	4368	376	NONE	None
17	None17	DOTTED_LINE	13	FALSE	None	None	None	-9072	4728	317	NONE	None
18	None18	DOTTED_LINE	175	FALSE	None	None	None	-9119	5139	316	NONE	None
19	None19	DOTTED_LINE	304	FALSE	None	None	None	-8918	5491	322	NONE	None
20	None20	DOTTED_LINE	107	FALSE	None	None	None	-8524	5674	322	NONE	None
21	None21	DOTTED_LINE	270	FALSE	None	None	None	-8140	5734	324	NONE	None
22	None22	DOTTED_LINE	133	FALSE	None	None	None	-7861	5813	318	NONE	None
23	None23	DOTTED_LINE	25	FALSE	None	None	None	-7050	5755	306	NONE	None
24	None24	DOTTED_LINE	262	FALSE	None	None	None	-7423	6022	292	NONE	None
