ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Script	ShopName
1	CAS_BILLY_BOX01	npc_castilla_relicbox_black	230	FALSE	None	None	None	1979	-223	-9	CAS_BILLY_BOX01	None
2	CAS_BILLY_BOX02	npc_castilla_relicbox_white	314	FALSE	None	None	None	1298	-610	-31	CAS_BILLY_BOX02	None
3	CAS_BILLY_BOX03	npc_castilla_relicbox_gold	266	FALSE	None	None	None	2915	-621	-41	CAS_BILLY_BOX02	None
4	CAS_BILLY_BOX04	npc_castilla_relicbox_red	266	FALSE	None	None	None	2613	119	-49	CAS_BILLY_BOX02	None
5	CAS_BILLY_BOX05	npc_castilla_relicbox_white	314	FALSE	None	None	None	2476	1007	-59	CAS_BILLY_BOX02	None
6	CAS_BILLY_BOX06	npc_castilla_relicbox_gold	266	FALSE	None	None	None	3201	823	-72	CAS_BILLY_BOX02	None
7	CAS_BILLY_BOX07	npc_castilla_relicbox_red	266	FALSE	None	None	None	1870	712	-49	CAS_BILLY_BOX02	None
8	CAS_BILLY_BOX08	npc_castilla_relicbox_white	314	FALSE	None	None	None	1062	200	-36	CAS_BILLY_BOX02	None
9	CAS_BILLY_BOX09	npc_castilla_relicbox_gold	266	FALSE	None	None	None	141	-371	-23	CAS_BILLY_BOX02	None
10	CAS_BILLY_BOX10	npc_castilla_relicbox_red	266	FALSE	None	None	None	-812	-152	-18	CAS_BILLY_BOX02	None
11	CAS_BILLY_BOX11	npc_castilla_relicbox_white	314	FALSE	None	None	None	-1612	609	-22	CAS_BILLY_BOX02	None
12	CAS_BILLY_BOX12	npc_castilla_relicbox_gold	266	FALSE	None	None	None	-2556	583	-21	CAS_BILLY_BOX02	None
13	CAS_BILLY_BOX13	npc_castilla_relicbox_red	266	FALSE	None	None	None	-3145	910	-19	CAS_BILLY_BOX02	None
14	CAS_BILLY_BOX14	npc_castilla_relicbox_white	314	FALSE	None	None	None	-3303	228	1	CAS_BILLY_BOX02	None
15	CAS_BILLY_BOX15	npc_castilla_relicbox_gold	266	FALSE	None	None	None	-3372	-639	-11	CAS_BILLY_BOX02	None
