ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Script	ShopName
1	TR_MISSION_JOSE01	REB_GUNS	293	FALSE	None	None	None	-8515	5690	322	TR_MISSION_TAYLOR	None
2	TR_MISSION_JOSE02	COIM_BOYa	181	FALSE	None	None	None	-6566	4318	349	TR_MISSION_TAYLOR	None
3	TR_MISSION_JOSE03	COIM_GIRLb1	68	FALSE	None	None	None	-8186	2588	318	TR_MISSION_TAYLOR	None
4	TR_MISSION_JOSE04	REB_MANa	79	FALSE	None	None	None	-8061	2621	321	TR_MISSION_TAYLOR	None
5	TR_MISSION_JOSE05	COIM_WOMAN3	286	FALSE	None	None	None	-8673	5661	322	TR_MISSION_TAYLOR	None
6	TR_MISSION_JOSE06	COIM_WOMAN4	167	FALSE	None	None	None	-6484	4233	342	TR_MISSION_TAYLOR	None
7	TR_MISSION_JOSE07	COIM_WEP	259	FALSE	None	None	None	-7553	6069	290	TR_MISSION_TAYLOR	None
8	TR_MISSION_JOSE08	COIM_MAN3	274	FALSE	None	None	None	-7821	6095	291	TR_MISSION_TAYLOR	None
9	TR_MISSION_JOSE09	COIM_MAIN2	252	FALSE	None	None	None	-6986	5952	290	TR_MISSION_TAYLOR	None
10	TR_MISSION_JOSE10	COIM_ITEM	250	FALSE	None	None	None	-7272	6003	291	TR_MISSION_TAYLOR	None
11	TR_MISSION_JOSE11	COIM_FISHb	140	FALSE	None	None	None	-6833	2962	326	TR_MISSION_TAYLOR	None
12	TR_MISSION_JOSE12	COIM_FISHa	141	FALSE	None	None	None	-6958	2915	326	TR_MISSION_TAYLOR	None
