ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Script	ShopName
1	DOTTED_LINE1	DOTTED_LINE	277	FALSE	None	None	None	7528	-4342	4999	TR_MISSION_TAYLOR	None
2	DOTTED_LINE2	DOTTED_LINE	261	FALSE	None	None	None	7849	-4338	4987	TR_MISSION_TAYLOR	None
3	DOTTED_LINE3	DOTTED_LINE	272	FALSE	None	None	None	8139	-4343	4983	TR_MISSION_TAYLOR	None
4	DOTTED_LINE4	DOTTED_LINE	270	FALSE	None	None	None	8444	-4347	4980	TR_MISSION_TAYLOR	None
5	DOTTED_LINE5	DOTTED_LINE	174	FALSE	None	None	None	6561	-3047	5000	TR_MISSION_TAYLOR	None
6	DOTTED_LINE6	DOTTED_LINE	180	FALSE	None	None	None	6548	-3341	5009	TR_MISSION_TAYLOR	None
7	DOTTED_LINE7	DOTTED_LINE	179	FALSE	None	None	None	6543	-3637	5017	TR_MISSION_TAYLOR	None
8	DOTTED_LINE8	DOTTED_LINE	177	FALSE	None	None	None	6555	-3943	5025	TR_MISSION_TAYLOR	None
9	DOTTED_LINE9	DOTTED_LINE	179	FALSE	None	None	None	6565	-4232	5032	TR_MISSION_TAYLOR	None
10	DOTTED_LINE10	DOTTED_LINE	177	FALSE	None	None	None	6554	-1825	4996	TR_MISSION_TAYLOR	None
11	DOTTED_LINE11	DOTTED_LINE	178	FALSE	None	None	None	6546	-2748	4998	TR_MISSION_TAYLOR	None
12	DOTTED_LINE12	DOTTED_LINE	173	FALSE	None	None	None	6545	-2433	5000	TR_MISSION_TAYLOR	None
13	DOTTED_LINE13	DOTTED_LINE	182	FALSE	None	None	None	6544	-2124	5001	TR_MISSION_TAYLOR	None
14	DOTTED_LINE14	DOTTED_LINE	93	FALSE	None	None	None	8144	-1624	4994	TR_MISSION_TAYLOR	None
15	DOTTED_LINE15	DOTTED_LINE	89	FALSE	None	None	None	7837	-1621	4993	TR_MISSION_TAYLOR	None
16	DOTTED_LINE16	DOTTED_LINE	92	FALSE	None	None	None	7524	-1624	4993	TR_MISSION_TAYLOR	None
17	DOTTED_LINE17	DOTTED_LINE	94	FALSE	None	None	None	7228	-1646	4993	TR_MISSION_TAYLOR	None
18	DOTTED_LINE18	DOTTED_LINE	89	FALSE	None	None	None	6721	-1646	4993	TR_MISSION_TAYLOR	None
19	DOTTED_LINE19	DOTTED_LINE	91	FALSE	None	None	None	6921	-1639	4993	TR_MISSION_TAYLOR	None
20	DOTTED_LINE20	DOTTED_LINE	13	FALSE	None	None	None	9241	-2091	4996	TR_MISSION_TAYLOR	None
21	DOTTED_LINE21	DOTTED_LINE	5	FALSE	None	None	None	9221	-1807	4997	TR_MISSION_TAYLOR	None
22	DOTTED_LINE22	DOTTED_LINE	89	FALSE	None	None	None	9036	-1652	4997	TR_MISSION_TAYLOR	None
23	DOTTED_LINE23	DOTTED_LINE	88	FALSE	None	None	None	8746	-1626	4996	TR_MISSION_TAYLOR	None
24	DOTTED_LINE24	DOTTED_LINE	88	FALSE	None	None	None	8443	-1630	4995	TR_MISSION_TAYLOR	None
25	DOTTED_LINE25	DOTTED_LINE	9	FALSE	None	None	None	9270	-2396	4995	TR_MISSION_TAYLOR	None
26	DOTTED_LINE26	DOTTED_LINE	358	FALSE	None	None	None	9285	-2684	4994	TR_MISSION_TAYLOR	None
27	DOTTED_LINE27	DOTTED_LINE	355	FALSE	None	None	None	9281	-2979	4990	TR_MISSION_TAYLOR	None
28	DOTTED_LINE28	DOTTED_LINE	358	FALSE	None	None	None	9252	-3271	4986	TR_MISSION_TAYLOR	None
29	DOTTED_LINE29	DOTTED_LINE	3	FALSE	None	None	None	9277	-3571	4983	TR_MISSION_TAYLOR	None
30	DOTTED_LINE30	DOTTED_LINE	359	FALSE	None	None	None	9296	-4177	4982	TR_MISSION_TAYLOR	None
31	DOTTED_LINE31	DOTTED_LINE	2	FALSE	None	None	None	9285	-3878	4982	TR_MISSION_TAYLOR	None
