ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Script	ShopName
3	MISSION_RAT01_NPC_03	AUCH_ESHOP	210	FALSE	minimap_npc.bmp	<$>87</>	<$>87</>	872	-4900	1109	MISSION_RAT02_GUR	None
1	MISSION_RAT01_NPC_01	alchemist	248	FALSE	minimap_alchemist.bmp	None	None	3051	3807	1481	MISSION_RAT01_NPC	<$>51778</>
2	MISSION_RAT01_NPC_02	AUCH_BAKCHO	0	FALSE	minimap_npc.bmp	<$>86</>	None	2361	-8311	1045	MISSION_RAT01_NPC	None
4	MISSION_RAT01_NPC_04	AUCH_ESMERALDA	62	FALSE	minimap_npc.bmp	<$>64853</>	None	2644	2810	1489	MISSION_RAT01_NPC	None
5	MISSION_RAT01_NPC_05	AUCH_ESMERALDA	81	FALSE	minimap_tool.bmp	None	None	7978	2047	1951	MISSION_RAT01_NPC	<$>64452</>
6	MISSION_RAT01_NPC_06	AUCH_ITEM	270	FALSE	minimap_magic.bmp	<$>64449</>	None	4311	3642	1651	MISSION_RAT01_NPC	<$>64449</>
7	MISSION_RAT01_NPC_07	AUCH_LEON	152	FALSE	minimap_npc.bmp	<$>10806</>	None	-6622	5368	1379	MISSION_RAT01_NPC	None
8	MISSION_RAT01_NPC_08	AUCH_LORCH	270	FALSE	minimap_gun.bmp	<$>64450</>	None	6093	3355	1805	MISSION_RAT01_NPC	<$>64450</>
9	MISSION_RAT01_NPC_09	AUCH_SOLF	311	FALSE	minimap_npc.bmp	<$>64854</>	None	-10738	5040	1379	MISSION_RAT01_NPC	None
10	MISSION_RAT01_NPC_10	AUCH_SOLM	317	FALSE	None	None	None	-1758	-3196	1304	MISSION_RAT01_NPC	None
11	MISSION_RAT01_NPC_11	AUCH_SOLM	216	FALSE	None	None	None	13832	3764	2244	MISSION_RAT01_NPC	None
12	MISSION_RAT01_NPC_12	AUCH_SOLM	220	FALSE	None	None	None	14566	2866	2244	MISSION_RAT01_NPC	None
