ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	arm_bota	arm_bota	0	FALSE	None	None	None	None	0	8146	-39	NPC_TUTO_ABYSS01	None
2	arm_casket	arm_casket	90	FALSE	None	None	None	None	-2535	1854	4	NPC_TUTO_ABYSS01	None
3	C1_ARM_BEGA	arm_cardinal1	360	FALSE	minimap_npc.bmp	<$>117380</>	None	<$>117380</>	-6245	5403	110	NPC_TUTO_ABYSS01	None
4	C1_ARM_LENON	arm_cardinal2	180	FALSE	minimap_npc.bmp	<$>117379</>	None	<$>117379</>	6316	5440	110	NPC_TUTO_ABYSS01	None
5	C1_ARM_SERIOUS	arm_serious	360	FALSE	minimap_npc.bmp	<$>117842</>	None	<$>117842</>	-1370	7280	5	NPC_TUTO_ABYSS01	None
6	C1_ARM_ANIES	arm_anies	270	FALSE	minimap_npc.bmp	<$>117843</>	None	<$>117843</>	10	7724	-5	NPC_TUTO_ABYSS01	None
7	arm_priest1	arm_cardinal3	180	FALSE	minimap_npc.bmp	None	None	<$>117844</>	1671	6193	5	NPC_TUTO_ABYSS01	None
8	arm_priest2	arm_cardinal3	0	FALSE	minimap_npc.bmp	None	None	<$>117845</>	-1791	4452	5	NPC_TUTO_ABYSS01	None
9	arm_priest3	arm_cardinal3	0	FALSE	minimap_npc.bmp	<$>117846</>	None	<$>117846</>	-2745	-4426	5	NPC_TUTO_ABYSS01	None
10	arm_priest4	arm_cardinal3	185	FALSE	minimap_npc.bmp	<$>117847</>	None	<$>117847</>	2797	-4421	5	NPC_TUTO_ABYSS01	None
11	arm_priest5	arm_cardinal3	185	FALSE	minimap_npc.bmp	<$>117848</>	None	<$>117848</>	2530	-656	5	NPC_TUTO_ABYSS01	None
12	SHOP_PAPA	arm_papa	270	FALSE	minimap_npc.bmp	<$>117852</>	None	<$>117852</>	12	9581	113	NPC_TUTO_ABYSS01	None
13	PRAY_EFFECT	Trigger_Black_None	0	FALSE	None	None	None	<$>118589</>	10	7724	-5	NPC_PRAY_BUFF_MANAGER_EFFECT	None
